pattern,pred_ppf,sigma_ppf,entropy_ppf,cycle,priority,mode
"[8, 4, 7, 4, 6, 4, 3, 9, 7, 1, 8, 4, 3, 7, 5, 1, 8, 3, 7, 2, 2, 8, 4, 3, 9, 5, 8, 3, 6, 6, 8]",1.981566309928894,0.1138639822602272,-0.7538120150566101,306.73980712890625,-116.68750839365327,mc
"[9, 4, 1, 3, 9, 4, 6, 5, 7, 3, 8, 3, 9, 1, 7, 7, 1, 6, 4, 7, 9, 9, 1, 4, 4, 7, 7, 1, 6, 5, 9]",1.9954320192337036,0.10229215025901794,-0.8609838485717773,276.9056396484375,-119.47846959418231,mc
"[3, 9, 2, 1, 9, 6, 6, 8, 4, 3, 9, 4, 1, 3, 8, 2, 7, 4, 7, 5, 6, 2, 1, 1, 8, 6, 3, 8, 8, 2, 7]",1.995974063873291,0.10546110570430756,-0.8304744958877563,296.7897644042969,-123.48667798484647,mc
"[7, 8, 9, 9, 8, 1, 9, 7, 8, 3, 8, 4, 9, 1, 8, 5, 8, 9, 9, 7, 5, 7, 1, 7, 9, 9, 4, 8, 7, 8, 3]",2.0837159156799316,0.10534344613552094,-0.8315907716751099,311.4220886230469,-124.28546941569957,mc
"[2, 2, 9, 4, 9, 5, 3, 5, 3, 9, 9, 4, 3, 3, 2, 7, 3, 9, 5, 2, 5, 3, 4, 2, 7, 6, 9, 6, 1, 4, 3]",2.0216081142425537,0.10974867641925812,-0.7906237244606018,324.177490234375,-126.78139058124597,mc
"[1, 8, 3, 1, 1, 8, 4, 1, 7, 8, 9, 4, 9, 1, 6, 4, 8, 8, 9, 6, 3, 6, 8, 4, 7, 6, 7, 2, 2, 7, 1]",1.9754054546356201,0.10977901518344879,-0.7903473973274231,318.76513671875,-127.5358777800773,mc
"[8, 9, 1, 2, 6, 6, 6, 8, 5, 4, 4, 1, 3, 9, 2, 1, 3, 4, 7, 5, 4, 2, 9, 8, 6, 5, 6, 6, 1, 1, 3]",1.9674372673034668,0.10772915929555893,-0.8091963529586792,312.6364440917969,-128.58562048190078,mc
"[3, 4, 1, 2, 1, 7, 2, 6, 7, 3, 9, 4, 9, 1, 6, 9, 8, 1, 7, 6, 8, 1, 8, 7, 9, 7, 9, 8, 1, 5, 1]",1.9292776584625244,0.10742496699094772,-0.8120244741439819,310.1861267089844,-130.55590768227754,mc
"[6, 1, 7, 8, 6, 9, 2, 9, 8, 3, 4, 4, 6, 2, 5, 7, 3, 2, 9, 6, 8, 8, 4, 8, 3, 5, 4, 8, 2, 3, 1]",2.0948705673217773,0.10264746844768524,-0.857516348361969,318.9906005859375,-130.5758592761635,mc
"[1, 7, 8, 7, 4, 4, 6, 1, 7, 9, 4, 4, 9, 3, 7, 9, 1, 9, 8, 6, 1, 8, 8, 7, 9, 7, 7, 8, 6, 2, 1]",1.9655070304870605,0.1092287078499794,-0.7953729629516602,328.326904296875,-132.8625162740442,mc
"[1, 1, 1, 8, 2, 8, 2, 1, 7, 8, 9, 4, 9, 1, 5, 3, 4, 9, 7, 6, 6, 4, 2, 7, 6, 5, 7, 7, 2, 1, 1]",2.043487787246704,0.10321473330259323,-0.8520053625106812,320.1317138671875,-133.474643280071,mc
"[9, 1, 4, 9, 8, 4, 4, 9, 7, 4, 1, 4, 7, 1, 7, 4, 3, 1, 3, 3, 6, 8, 9, 1, 2, 3, 9, 7, 4, 2, 5]",1.956353783607483,0.10028994828462601,-0.880751371383667,297.7407531738281,-134.04295523079784,mc
"[5, 9, 7, 4, 9, 4, 8, 7, 9, 1, 9, 6, 4, 8, 2, 1, 1, 9, 4, 8, 5, 3, 8, 1, 2, 1, 6, 3, 7, 7, 6]",2.0349042415618896,0.09838782250881195,-0.8999000787734985,303.27410888671875,-134.1174954503749,mc
