seed,gen,best_fit,stag,H_mean,H_sens,H_pos_0,H_pos_1,H_pos_2,H_pos_3,H_pos_4,H_pos_5,H_pos_6,H_pos_7,H_pos_8,H_pos_9,H_pos_10,H_pos_11,H_pos_12,H_pos_13,H_pos_14,H_pos_15,H_pos_16,H_pos_17,H_pos_18,H_pos_19,H_pos_20,H_pos_21,H_pos_22,H_pos_23,H_pos_24,H_pos_25,H_pos_26,H_pos_27,H_pos_28,H_pos_29,H_pos_30
1000,0,3.4070601326765875,0,2.147491178567841,2.151738356015141,2.0589629419840634,2.1821923454333696,2.1110145923860433,2.16062863915563,2.1676344319318934,2.165917647505693,2.1450675250276885,2.176286653190892,2.15065154341034,2.163712564882563,2.1544638418530404,2.105798709318546,2.079627445477039,2.1881946309686544,2.1494299634653684,2.1691354147286064,2.141461504154164,2.1213488045923903,2.1576071405626904,2.1347213619297936,2.1559554697318792,2.134003509803528,2.1290246940879483,2.1620322237804266,2.1685372272195216,2.135898486863524,2.1726335168407127,2.1552920815560563,2.1618810374817334,2.167380605113207,2.14572998116606
1000,1,3.4070601326765875,1,2.0467466335851334,2.00757932040685,1.9708979769083816,1.9972977721540517,2.054636422609871,2.005634201831616,2.1556409667867706,2.058397355297106,2.1208747569599042,1.988947218339921,1.9349679131558906,1.9168260488420934,2.046281317509172,2.0423978223505475,2.1052350511982305,2.1344408901088596,2.105636518256766,2.0508899135862246,2.1330521267531037,2.059013458313501,2.0828065201037216,1.9799599152812484,2.0756145376378328,2.0729201013316345,2.058659764507566,1.9387255638743643,2.16667092043085,2.101964066553137,2.0778969087509904,1.9461856918274287,1.9996736738019785,2.124230045253012,1.9427702008233434
1000,2,3.7411494505060685,0,1.8958170506020742,1.8033996800092538,1.8875559413021776,1.7275469797191334,1.8699260128783242,1.9419858808267927,2.027237166343764,1.8565470416341512,1.8699395876191025,2.001799712970801,1.7724209140442277,1.542198443354008,1.9826176599978593,1.8403201836552259,2.08422148491547,1.784733749182638,1.8618535126142706,1.8322519638326078,2.1319743705420264,1.8937982612693072,2.0445286700945906,1.9051572865260558,1.9302052701760515,1.899914023675697,2.040715302682698,1.6433457720057754,2.051397303133514,1.8242328512602242,2.041492527791681,1.8100797404010562,1.9599886466651861,2.074497136848252,1.6358451707016237
1000,3,4.47467474124641,0,1.7534516063518197,1.648732980598421,1.8880206645634092,1.7030210032575757,1.656743711049716,1.9299334698074724,1.926377130377992,1.717874144510544,1.6941418225882139,1.8427266177450559,1.815075521159528,1.3143666088418482,2.051319506207469,1.5956910923605638,2.0136307534199673,1.6033524409195539,1.7648034156335433,1.6696160866722234,1.9531571893894348,1.8551275265934146,1.9902165536918632,1.608312832691806,1.9295179602723103,1.770830544762775,1.890826497781172,1.5626840868061567,1.9509715126074756,1.6253340530170726,1.7722178681853986,1.3940756646681853,1.7280526080874288,1.8866414093526913,1.252339499884548
1000,4,4.47467474124641,1,1.657420356986612,1.5902186567694323,1.6838319862578395,1.5455070071115764,1.7050489564722517,1.86011062402123,1.801472332604311,1.5913167187333892,1.541695537719705,1.805809282080284,1.856371840792339,1.3557005699473286,1.9311214060299455,1.5893656345412437,1.8228484493462853,1.3270287306308195,1.6795942227883163,1.4432394269414386,1.717862580947831,1.8058744630492543,1.8993884120533902,1.3989421167882738,1.929292305460353,1.6677500153752456,1.885952919236689,1.3794299885311996,1.8558943278153301,1.5416076720247336,1.4203872116240264,1.3316038363727243,1.7062875300585052,1.8955020562906733,1.4041929049384465
1000,5,4.961023966945087,0,1.6055448147252864,1.5736362001988842,1.7247620008876543,1.4530583616544557,1.7342549323146221,1.8487976508786996,1.726923697468735,1.558670332288879,1.4820516436942346,1.5749996853058885,1.5978627684546447,1.4470566981578816,1.8103102908595827,1.3600305763260694,1.9096948526881152,1.446065255626053,1.7203056600784876,1.4025679586449495,1.665956771906968,1.857297347479381,1.8896714331352453,1.431191524353046,1.6225481914740043,1.5126900581336697,1.8015033048900366,1.3282784257616733,1.6296263148251466,1.6009736739075215,1.5317370933372052,1.3602741822488649,1.6410110617002596,1.8184874679569052,1.2832300400449916
1000,6,4.961023966945087,1,1.5515344469306334,1.5642552762529875,1.7364950782041575,1.2957009529912102,1.7873165344109707,1.8120510840850506,1.6699498197569496,1.378741614805888,1.4554065069714992,1.5786950525771597,1.3316779042758344,1.5359629533439403,1.860865200090092,1.168920633823606,1.9397166766775398,1.2099400857692646,1.7349906510653237,1.2211787329370285,1.64086666367462,1.9155321198952753,1.7606903259182545,1.397413300226885,1.6375637100921039,1.5253588663757123,1.6600542503723101,1.1864725613974039,1.5803337900782435,1.5529301561279298,1.5436889920922319,1.3368560801528622,1.6009113599136988,1.764794677485038,1.2764915192615574
1000,7,4.961023966945087,2,1.505188543622938,1.440702135273448,1.6567110000420997,1.2751097971317782,1.7914638690821016,1.6809218818515501,1.6264460802706873,1.3168022945093976,1.5041554809827868,1.689728024991095,1.3117375677343097,1.23908775759811,1.8649013118494564,1.0426980203948595,1.8541611277420258,1.0291949745955984,1.7028220490530113,1.3676846541057543,1.5672363512779377,1.8957345588729688,1.4903217596921683,1.569522258369231,1.7310435580867893,1.5494563888413124,1.4192544937091027,1.3423203560408878,1.4175334159684696,1.4864202924107914,1.2908348605466424,1.2683603086054882,1.3648199367481575,1.9009358345030931,1.4134245867034134
1000,8,4.961023966945087,3,1.396205794345206,1.3148400509569855,1.7068599774585178,1.1637551703831117,1.4780257849263714,1.5434351086581033,1.580916396402463,1.2235718303801817,1.5215158956775257,1.5723054595197263,1.164295919219972,1.0939452906577953,1.7996010790378778,0.8809411174354544,1.66815794465458,0.9939047322596172,1.696837689196459,1.34275393665619,1.3502567067235924,1.8892733110643223,1.5072976140208099,1.4154241947393749,1.685324149228235,1.463446788421565,1.3270017432630212,1.1544638478457527,1.2757237948218267,1.4269725020665012,0.9657605868235781,1.117957091264902,1.348443316108249,1.788303296276192,1.1359073495095156
1000,9,4.961023966945087,4,1.3654088821251502,1.2609697429284394,1.66168481946984,1.1824869932844253,1.5296746988845307,1.5919094697604976,1.5486938919832498,1.1913729696007542,1.4999015114265508,1.4050147294825983,1.082240911665653,1.023552124456439,1.736568648090559,1.0961349387267114,1.45166206966095,0.8730832368868708,1.5855380428868768,1.3496198435911293,1.2998647499158773,1.891622842844284,1.5190276539534853,1.1720462028405616,1.70752500024171,1.548775976568302,1.264467682890549,1.3459869266921867,1.336186284734606,1.4575395301422969,0.9726261296917389,0.9148089561499,1.2021732307625015,1.6966477030799583,1.1892375755140565
