W_PPF_SOFT,ppf,cycle,fitness,pop_entropy
1.0,1.7143112,377.57596,375.86163,0.9525059822892509
3.0,1.8139272,374.05432,368.61255,1.0008417550424522
6.0,1.8921429,369.57385,358.221,1.0511767834997088
9.0,1.8601882,371.78503,355.04333,1.0908765202531456
12.0,1.8623257,372.8485,350.5006,1.1493863790169814
18.0,1.7717931,371.46887,339.5766,0.9670260308037766
26.0,1.7984031,370.03897,323.2805,1.0022899419226368
