position,sensitivity,sensitivity_norm
pos_0,0.9991333,0.56059223
pos_1,1.7707616,0.99353635
pos_2,1.3143456,0.73745114
pos_3,0.9006604,0.50534123
pos_4,0.6722818,0.3772029
pos_5,0.6864517,0.38515332
pos_6,0.8057455,0.4520865
pos_7,0.8961941,0.5028353
pos_8,1.6502821,0.9259379
pos_9,1.7822816,1.0
pos_10,1.0825433,0.6073918
pos_11,0.80035645,0.44906282
pos_12,1.1357248,0.6372308
pos_13,1.1249281,0.631173
pos_14,0.9944407,0.5579593
pos_15,1.1057447,0.62040967
pos_16,1.0619243,0.595823
pos_17,0.85048515,0.47718897
pos_18,0.93656725,0.5254878
pos_19,0.85665345,0.4806499
pos_20,0.89292073,0.5009987
pos_21,1.0621642,0.5959575
pos_22,1.6333693,0.9164485
pos_23,1.100546,0.61749274
pos_24,0.7231931,0.40576816
pos_25,0.86032957,0.48271248
pos_26,1.2704598,0.71282774
pos_27,1.392302,0.7811908
pos_28,0.93155915,0.52267784
pos_29,0.7966917,0.44700664
pos_30,0.60334563,0.33852428
