pattern,pred_ppf,sigma_ppf,h_gauss,h_hist,h_traj,h_primary,cycle,priority,entropy_mode
"[3, 1, 3, 8, 8, 7, 1, 6, 1, 7, 9, 1, 7, 5, 8, 1, 8, 9, 8, 2, 1, 1, 1, 1, 5, 8, 1, 6, 4, 1, 1]",1.8541340827941895,0.08705773949623108,-1.022245168685913,2.220088005065918,0.0,2.220088005065918,337.8233642578125,404.49997725599064,combined
"[4, 1, 6, 4, 2, 3, 1, 6, 1, 3, 1, 1, 8, 5, 3, 1, 4, 6, 9, 2, 2, 1, 1, 1, 9, 3, 1, 6, 2, 1, 1]",1.7895715236663818,0.056559305638074875,-1.4535269737243652,2.220088005065918,0.0,2.220088005065918,318.6183776855469,395.26804817277895,combined
"[4, 1, 1, 7, 5, 9, 1, 3, 1, 7, 9, 1, 4, 7, 5, 1, 1, 9, 5, 2, 2, 1, 1, 1, 8, 2, 1, 3, 2, 1, 1]",1.8336005210876465,0.06117236241698265,-1.3751214742660522,2.222992420196533,0.0,2.222992420196533,324.31915283203125,393.19285579699545,combined
"[4, 1, 1, 7, 1, 7, 1, 6, 1, 1, 9, 1, 4, 5, 2, 1, 6, 8, 9, 5, 3, 1, 1, 1, 6, 4, 1, 7, 5, 1, 1]",1.8375407457351685,0.07058845460414886,-1.2319501638412476,2.1828975677490234,0.0,2.1828975677490234,330.2494812011719,392.31804716142386,combined
"[1, 1, 4, 4, 2, 8, 1, 6, 1, 7, 7, 1, 7, 1, 2, 1, 1, 9, 8, 2, 5, 1, 1, 1, 4, 1, 1, 5, 8, 1, 1]",1.8422253131866455,0.06740280985832214,-1.278130054473877,2.220088005065918,0.0,2.220088005065918,324.76171875,391.3740625353982,combined
"[4, 1, 3, 4, 8, 8, 1, 4, 1, 4, 8, 1, 9, 3, 3, 1, 6, 9, 8, 7, 6, 1, 1, 1, 6, 2, 1, 8, 3, 1, 1]",1.887946605682373,0.058426957577466965,-1.4210392236709595,2.22910737991333,0.0,2.22910737991333,330.66253662109375,390.41459541804045,combined
"[3, 1, 4, 3, 9, 6, 1, 2, 1, 7, 9, 1, 9, 2, 6, 1, 7, 9, 9, 7, 7, 1, 1, 1, 5, 1, 1, 7, 6, 1, 1]",1.9216246604919434,0.07107816636562347,-1.22503662109375,2.1828975677490234,0.0,2.1828975677490234,342.92889404296875,389.55487747057884,combined
"[8, 1, 8, 7, 6, 4, 1, 6, 1, 9, 9, 1, 7, 3, 8, 1, 3, 1, 8, 6, 7, 1, 1, 1, 6, 1, 1, 8, 3, 1, 1]",1.8317476511001587,0.062289897352457047,-1.3570175170898438,2.231414794921875,0.0,2.231414794921875,319.6574401855469,389.40295706426673,combined
"[9, 1, 4, 4, 1, 4, 1, 3, 1, 2, 9, 1, 4, 5, 7, 1, 3, 6, 2, 2, 5, 1, 1, 1, 6, 1, 1, 2, 5, 1, 1]",1.8209009170532227,0.06662092357873917,-1.2897980213165283,2.1790897846221924,0.0,2.1790897846221924,325.1458435058594,389.1049701581895,combined
"[3, 1, 6, 2, 1, 1, 1, 6, 1, 4, 9, 1, 9, 5, 6, 1, 8, 3, 8, 2, 4, 1, 1, 1, 1, 7, 1, 7, 2, 1, 1]",1.8877437114715576,0.05510014295578003,-1.4796645641326904,2.24885630607605,0.0,2.24885630607605,324.0630187988281,386.0538763335672,combined
