pattern_id,pred_ppf_max,pred_ppf_std,priority,cycle_length,rho_pcm_boc
pat_02569,2.112683,0.10696605012666238,0.0506304064150014,297.4811,9283.214
pat_09572,2.184452,0.10532237446081276,0.04821452965649139,314.20596,12319.723
pat_07665,2.1130328,0.10143841224395199,0.048006053481685705,290.73727,10154.772
pat_07865,2.1416736,0.10041331719525971,0.046885423683143496,310.58914,9633.278
pat_02209,2.1532302,0.0982584671133137,0.04563303265853688,296.19922,10119.204
pat_03265,2.0092041,0.08687946015593828,0.043240712473630684,304.92444,9703.25
pat_03965,2.0098386,0.08669976584968443,0.043137655693521876,296.37466,9389.65
pat_06158,2.142399,0.0913511251019566,0.04263962097629836,316.09537,9711.99
pat_07913,1.8884287,0.08022543956903895,0.04248262037224459,306.17975,9486.233
pat_04540,2.2261295,0.09319689254632334,0.04186497294382071,306.74054,10138.617
pat_02744,2.0244236,0.08443695784372382,0.041709115670444864,305.4198,10228.154
pat_03967,2.076745,0.08623294623957851,0.041523107198440996,312.89478,9521.398
pat_06429,2.072234,0.08560089490356479,0.04130849074300981,306.37793,9961.764
pat_01869,2.1781473,0.08954611076654603,0.04111111810620607,298.89294,9877.596
pat_06232,2.1735334,0.0887266596003307,0.0408213736453416,318.0255,9338.568
pat_01767,2.0447848,0.08328349732086732,0.040729693959367944,318.60156,9707.995
pat_04500,2.0769029,0.08362935942230985,0.040266361213003164,331.89578,11951.449
pat_09003,2.1013052,0.0839490301812912,0.03995087921036635,290.00308,9706.384
pat_07501,2.187482,0.08721135560777961,0.03986835679457145,300.1919,9501.783
pat_01893,1.9082263,0.07604205296585441,0.03984958015250413,304.56314,9421.74
pat_04948,2.135401,0.08475584751178206,0.03969081649881595,339.90552,10629.502
pat_07452,2.10359,0.08312391920545052,0.03951524824824585,315.62497,9911.148
pat_02741,2.1688478,0.08563334737167942,0.039483319090000274,314.2401,10064.298
pat_02620,2.0988057,0.08257130977562381,0.039342028466454466,301.78067,9765.4
pat_08247,2.200712,0.08627238513206091,0.039202016936421426,325.89337,10222.94
pat_06820,2.1686473,0.08495533565388882,0.039174327109087706,330.8188,10912.152
pat_02763,2.197877,0.0860400787729152,0.03914688773327411,328.0941,10279.611
pat_01321,2.0655205,0.08073684955223913,0.039087877026043945,306.0648,9907.163
pat_07003,2.1083105,0.0822050215266287,0.03899092940100581,318.42123,9576.099
pat_05975,2.1603875,0.08417298010738657,0.03896196507622967,329.30908,10240.291
pat_09309,2.1795812,0.08491955425064954,0.03896139242052372,303.4228,10119.951
pat_00252,2.2099247,0.08603330311911399,0.03893040612418814,295.3588,9947.922
pat_03348,2.0443635,0.07932901375209211,0.03880375324489491,325.03607,11167.362
pat_03718,2.2146106,0.08580954536618224,0.03874699656892191,279.60944,10832.164
pat_06199,2.048976,0.07928912852193938,0.038696936306041735,314.43604,10482.604
pat_03816,2.0241156,0.07821058453722335,0.03863936878861288,321.22745,10073.232
pat_00357,1.9721925,0.07613045262111987,0.03860191883351898,319.92676,10576.438
pat_07228,2.067831,0.07973295554288823,0.038558720345186,305.95062,10391.817
pat_08048,2.0998988,0.08092230285426728,0.03853626923316437,322.5768,10510.876
pat_07986,1.8929045,0.07292537619998744,0.03852563015578997,320.34665,11046.361
pat_09415,2.1965683,0.08451201696195343,0.038474552404423004,300.27768,9930.523
pat_00554,2.2004962,0.08465399573506316,0.038470395528056756,285.46744,10068.274
pat_02712,1.9507573,0.0748032241644102,0.038345717805949954,306.95044,10613.553
pat_09581,2.1407404,0.08162374110061667,0.03812872637168845,323.73596,11456.285
pat_01613,2.0300026,0.07734168907574873,0.03809928764143238,295.9104,9589.284
pat_02786,1.9953694,0.07601715724246408,0.03809676524140282,323.36758,10614.501
pat_03028,2.0028596,0.07625727451084081,0.038074180780519606,300.194,9772.17
pat_07523,1.9727539,0.07496406070409199,0.03799968416397718,305.33246,10283.69
pat_07920,2.154734,0.08186072160703238,0.03799108814232943,307.525,11117.423
pat_04445,2.1506338,0.08155083928112705,0.03791942759626477,330.2961,10576.661
