seed,gen,best_ppf,sigma,h_sens_pop,div,stag,n_al
42,212,1.7889388799667358,0.06055358797311783,1.63068572840116,1.0,15,50
42,213,1.7889388799667358,0.06055358797311783,1.6374652577005673,1.0,16,50
42,214,1.7889388799667358,0.06055358797311783,1.6077969708509674,1.0,17,50
42,215,1.7889388799667358,0.06055358797311783,1.6157938776021479,1.0,18,50
42,216,1.7889388799667358,0.06055358797311783,1.6167238278108373,1.0,19,50
42,217,1.7889388799667358,0.06055358797311783,1.614451232440366,1.0,0,50
42,218,1.7889388799667358,0.06055358797311783,1.5973925336878536,1.0,1,50
42,219,1.7889388799667358,0.06055358797311783,1.5794220338284097,1.0,2,50
42,220,1.7889388799667358,0.06055358797311783,1.5669122199936187,1.0,3,50
42,221,1.7889388799667358,0.06055358797311783,1.5589541991978166,1.0,4,50
42,222,1.7889388799667358,0.06055358797311783,1.53438874104125,1.0,5,50
42,223,1.7889388799667358,0.06055358797311783,1.5439371403490425,1.0,6,50
42,224,1.7889388799667358,0.06055358797311783,1.5434001329581013,1.0,7,50
42,225,1.7889388799667358,0.06055358797311783,1.55173585209842,1.0,8,50
42,226,1.7889388799667358,0.06055358797311783,1.5537229924988387,1.0,9,50
42,227,1.7889388799667358,0.06055358797311783,1.5612782156669218,1.0,10,50
42,228,1.7889388799667358,0.06055358797311783,1.5736511094885652,1.0,11,50
42,229,1.7889388799667358,0.06055358797311783,1.5888775645543485,1.0,12,50
42,230,1.7889388799667358,0.06055358797311783,1.585852456723525,1.0,13,50
42,231,1.7889388799667358,0.06055358797311783,1.5752294730132885,1.0,14,50
42,232,1.7889388799667358,0.06055358797311783,1.5569064910184136,1.0,15,50
42,233,1.7889388799667358,0.06055358797311783,1.5178204630100494,1.0,16,50
42,234,1.7889388799667358,0.06055358797311783,1.5131661760569532,1.0,17,50
42,235,1.7889388799667358,0.06055358797311783,1.506771094558095,1.0,18,50
42,236,1.7889388799667358,0.06055358797311783,1.5329625520355163,1.0,19,50
42,237,1.7889388799667358,0.06055358797311783,1.5749191510245246,1.0,0,50
42,238,1.7889388799667358,0.06055358797311783,1.569689659282871,1.0,1,50
42,239,1.7889388799667358,0.06055358797311783,1.551153417895215,1.0,2,50
42,240,1.7889388799667358,0.06055358797311783,1.5457727461164212,1.0,3,50
42,241,1.7889388799667358,0.06055358797311783,1.5323025997086124,1.0,4,50
42,242,1.7889388799667358,0.06055358797311783,1.509318478578755,1.0,5,50
