arm,seed,gen,best_ppf,sigma,h_hist_pop,div,stag,n_al
A_baseline,42,1,1.9118238687515259,0.08151377737522125,1.7196721425001171,1.0,1,24
A_baseline,42,2,1.8919564485549927,0.06003950536251068,1.7106829279663276,1.0,0,48
A_baseline,42,3,1.8410801887512207,0.054663851857185364,1.7042956258890736,1.0,0,50
A_baseline,42,4,1.8410801887512207,0.054663851857185364,1.722431622268408,1.0,1,50
A_baseline,42,5,1.8410801887512207,0.054663851857185364,1.7450889799010958,1.0,2,50
A_baseline,42,6,1.8410801887512207,0.054663851857185364,1.732119710560168,1.0,3,50
A_baseline,42,7,1.8410801887512207,0.054663851857185364,1.717598428894748,1.0,4,50
A_baseline,42,8,1.8410801887512207,0.054663851857185364,1.7010185873345367,1.0,5,50
A_baseline,42,9,1.8410801887512207,0.054663851857185364,1.695232678543301,1.0,6,50
A_baseline,42,10,1.8410801887512207,0.054663851857185364,1.699557258508435,1.0,7,50
A_baseline,42,11,1.8409396409988403,0.04905513674020767,1.7120143639921641,1.0,0,50
A_baseline,42,12,1.8409396409988403,0.04905513674020767,1.702433289771987,1.0,1,50
A_baseline,42,13,1.8409396409988403,0.04905513674020767,1.7140064286064696,1.0,2,50
A_baseline,42,14,1.8292487859725952,0.05152488127350807,1.7090749545032224,1.0,0,50
A_baseline,42,15,1.815123438835144,0.06277384608983994,1.7012449220042836,1.0,0,50
A_baseline,42,16,1.815123438835144,0.06277384608983994,1.7278253544132822,1.0,1,50
A_baseline,42,17,1.815123438835144,0.06277384608983994,1.7352000842062778,1.0,2,50
A_baseline,42,18,1.815123438835144,0.06277384608983994,1.695223324948194,1.0,3,50
A_baseline,42,19,1.815123438835144,0.06277384608983994,1.6782947355645637,1.0,4,50
A_baseline,42,20,1.815123438835144,0.06277384608983994,1.7064460483334007,1.0,5,50
A_baseline,42,21,1.815123438835144,0.06277384608983994,1.6950183950819042,1.0,6,50
A_baseline,42,22,1.815123438835144,0.06277384608983994,1.7010497537377902,1.0,7,50
A_baseline,42,23,1.815123438835144,0.06277384608983994,1.7067796321706379,1.0,8,50
A_baseline,42,24,1.815123438835144,0.06277384608983994,1.7125687032440022,1.0,9,50
A_baseline,42,25,1.815123438835144,0.06277384608983994,1.710435611181929,1.0,10,50
A_baseline,42,26,1.815123438835144,0.06277384608983994,1.723577311668258,1.0,11,50
A_baseline,42,27,1.815123438835144,0.06277384608983994,1.7162403124259051,1.0,12,50
A_baseline,42,28,1.815123438835144,0.06277384608983994,1.722192149815072,1.0,13,50
A_baseline,42,29,1.815123438835144,0.06277384608983994,1.6863072408874273,1.0,14,50
A_baseline,42,30,1.815123438835144,0.06277384608983994,1.6984603105609677,1.0,15,50
A_baseline,42,31,1.815123438835144,0.06277384608983994,1.705491319607051,1.0,16,50
A_baseline,42,32,1.8079148530960083,0.06245700642466545,1.7334164466198705,1.0,0,50
A_baseline,42,33,1.8079148530960083,0.06245700642466545,1.732943494428338,1.0,1,50
A_baseline,42,34,1.8079148530960083,0.06245700642466545,1.7423341033031876,1.0,2,50
A_baseline,42,35,1.8079148530960083,0.06245700642466545,1.7384410607331982,1.0,3,50
A_baseline,42,36,1.8079148530960083,0.06245700642466545,1.7309029339141064,1.0,4,50
A_baseline,42,37,1.8079148530960083,0.06245700642466545,1.7476739047602698,1.0,5,50
A_baseline,42,38,1.8079148530960083,0.06245700642466545,1.7304445559426282,1.0,6,50
A_baseline,42,39,1.8079148530960083,0.06245700642466545,1.7010181575567667,1.0,7,50
A_baseline,42,40,1.8079148530960083,0.06245700642466545,1.7210247598839652,1.0,8,50
A_baseline,42,41,1.8079148530960083,0.06245700642466545,1.725556795904986,1.0,9,50
A_baseline,42,42,1.8079148530960083,0.06245700642466545,1.7367981623487896,1.0,10,50
A_baseline,42,43,1.8079148530960083,0.06245700642466545,1.7457181878965542,1.0,11,50
A_baseline,42,44,1.8079148530960083,0.06245700642466545,1.7263552373622537,1.0,12,50
A_baseline,42,45,1.8079148530960083,0.06245700642466545,1.701500615804993,1.0,13,50
A_baseline,42,46,1.8079148530960083,0.06245700642466545,1.7076070836534925,1.0,14,50
A_baseline,42,47,1.8079148530960083,0.06245700642466545,1.6789228091183483,1.0,15,50
A_baseline,42,48,1.8079148530960083,0.06245700642466545,1.6660957146051616,1.0,16,50
A_baseline,42,49,1.8079148530960083,0.06245700642466545,1.67250923944012,1.0,17,50
A_baseline,42,50,1.8079148530960083,0.06245700642466545,1.6824328350476592,1.0,18,50
A_baseline,42,51,1.8079148530960083,0.06245700642466545,1.6756714998755398,1.0,19,50
A_baseline,42,52,1.8079148530960083,0.06245700642466545,1.7080123298211531,1.0,0,50
A_baseline,42,53,1.8079148530960083,0.06245700642466545,1.6954844339244466,1.0,1,50
A_baseline,42,54,1.8079148530960083,0.06245700642466545,1.7021479219837188,1.0,2,50
A_baseline,42,55,1.8079148530960083,0.06245700642466545,1.680244467866668,1.0,3,50
A_baseline,42,56,1.8079148530960083,0.06245700642466545,1.68938261064159,1.0,4,50
A_baseline,42,57,1.8079148530960083,0.06245700642466545,1.6819481836222425,1.0,5,50
A_baseline,42,58,1.8079148530960083,0.06245700642466545,1.6957133532370612,1.0,6,50
A_baseline,42,59,1.8079148530960083,0.06245700642466545,1.709842298190234,1.0,7,50
A_baseline,42,60,1.8079148530960083,0.06245700642466545,1.7145306722463383,1.0,8,50
A_baseline,42,61,1.8079148530960083,0.06245700642466545,1.7079595278407118,1.0,9,50
A_baseline,42,62,1.8079148530960083,0.06245700642466545,1.6846350388840332,1.0,10,50
A_baseline,42,63,1.8079148530960083,0.06245700642466545,1.687172658768642,1.0,11,50
A_baseline,42,64,1.8079148530960083,0.06245700642466545,1.715185364272409,1.0,12,50
A_baseline,42,65,1.8079148530960083,0.06245700642466545,1.740964952467144,1.0,13,50
A_baseline,42,66,1.8079148530960083,0.06245700642466545,1.7306524761120274,1.0,14,50
A_baseline,42,67,1.8079148530960083,0.06245700642466545,1.7365632513504787,1.0,15,50
A_baseline,42,68,1.8079148530960083,0.06245700642466545,1.7210864458008694,1.0,16,50
A_baseline,42,69,1.8079148530960083,0.06245700642466545,1.6968867314399538,1.0,17,50
A_baseline,42,70,1.8079148530960083,0.06245700642466545,1.6861710487062571,1.0,18,50
A_baseline,42,71,1.8079148530960083,0.06245700642466545,1.70062957281251,1.0,19,50
A_baseline,42,72,1.8079148530960083,0.06245700642466545,1.7004833332363354,1.0,0,50
A_baseline,42,73,1.8079148530960083,0.06245700642466545,1.6761971577765482,1.0,1,50
A_baseline,42,74,1.8079148530960083,0.06245700642466545,1.6740560395686834,1.0,2,50
A_baseline,42,75,1.8079148530960083,0.06245700642466545,1.6979517772849617,1.0,3,50
A_baseline,42,76,1.8079148530960083,0.06245700642466545,1.6928781011783571,1.0,4,50
A_baseline,42,77,1.8079148530960083,0.06245700642466545,1.697030535432418,1.0,5,50
A_baseline,42,78,1.8079148530960083,0.06245700642466545,1.6892035226331918,1.0,6,50
A_baseline,42,79,1.8079148530960083,0.06245700642466545,1.711037541546696,1.0,7,50
A_baseline,42,80,1.8079148530960083,0.06245700642466545,1.6868430670426398,1.0,8,50
A_baseline,42,81,1.8079148530960083,0.06245700642466545,1.6906487961898131,1.0,9,50
A_baseline,42,82,1.8079148530960083,0.06245700642466545,1.6800248709353744,1.0,10,50
A_baseline,42,83,1.7823076248168945,0.06448734551668167,1.7085847941698526,1.0,0,50
A_baseline,42,84,1.7823076248168945,0.06448734551668167,1.6860757329251064,1.0,1,50
A_baseline,42,85,1.7823076248168945,0.06448734551668167,1.6683500565568294,1.0,2,50
A_baseline,42,86,1.7823076248168945,0.06448734551668167,1.678790869634336,1.0,3,50
A_baseline,42,87,1.7823076248168945,0.06448734551668167,1.6829211315058576,1.0,4,50
A_baseline,42,88,1.7823076248168945,0.06448734551668167,1.6821093758557413,1.0,5,50
A_baseline,42,89,1.7823076248168945,0.06448734551668167,1.657798567344199,1.0,6,50
A_baseline,42,90,1.7823076248168945,0.06448734551668167,1.6663156747895813,1.0,7,50
A_baseline,42,91,1.7823076248168945,0.06448734551668167,1.6434385761805728,1.0,8,50
A_baseline,42,92,1.7823076248168945,0.06448734551668167,1.6456127274904544,1.0,9,50
A_baseline,42,93,1.7823076248168945,0.06448734551668167,1.6403298067948295,1.0,10,50
A_baseline,42,94,1.7823076248168945,0.06448734551668167,1.65224886355477,1.0,11,50
A_baseline,42,95,1.7823076248168945,0.06448734551668167,1.6626782818580281,1.0,12,50
A_baseline,42,96,1.7823076248168945,0.06448734551668167,1.6965120255901165,1.0,13,50
A_baseline,42,97,1.7823076248168945,0.06448734551668167,1.706736599553799,1.0,14,50
A_baseline,42,98,1.7823076248168945,0.06448734551668167,1.6805893686962525,1.0,15,50
A_baseline,42,99,1.7823076248168945,0.06448734551668167,1.69218199440099,1.0,16,50
A_baseline,42,100,1.7823076248168945,0.06448734551668167,1.6940331930604042,1.0,17,50
A_baseline,42,101,1.7823076248168945,0.06448734551668167,1.6885443687204853,1.0,18,50
A_baseline,42,102,1.7823076248168945,0.06448734551668167,1.688009799574745,1.0,19,50
A_baseline,42,103,1.7823076248168945,0.06448734551668167,1.6967072177552955,1.0,0,50
A_baseline,42,104,1.7823076248168945,0.06448734551668167,1.7026961577872222,1.0,1,50
A_baseline,42,105,1.7823076248168945,0.06448734551668167,1.6993397372338777,1.0,2,50
A_baseline,42,106,1.7823076248168945,0.06448734551668167,1.697621927205605,1.0,3,50
A_baseline,42,107,1.7823076248168945,0.06448734551668167,1.6787991968266056,1.0,4,50
A_baseline,42,108,1.7823076248168945,0.06448734551668167,1.6591718270249687,1.0,5,50
A_baseline,42,109,1.7823076248168945,0.06448734551668167,1.650674068962989,1.0,6,50
A_baseline,42,110,1.7823076248168945,0.06448734551668167,1.6646817865198875,1.0,7,50
A_baseline,42,111,1.7823076248168945,0.06448734551668167,1.6677694954225668,1.0,8,50
A_baseline,42,112,1.7823076248168945,0.06448734551668167,1.6551351437866573,1.0,9,50
A_baseline,42,113,1.7823076248168945,0.06448734551668167,1.6367534170056306,1.0,10,50
A_baseline,42,114,1.7823076248168945,0.06448734551668167,1.6137169973926984,1.0,11,50
A_baseline,42,115,1.7823076248168945,0.06448734551668167,1.6241695928189013,1.0,12,50
A_baseline,42,116,1.7823076248168945,0.06448734551668167,1.6433971829464076,1.0,13,50
A_baseline,42,117,1.7823076248168945,0.06448734551668167,1.6575829776195772,1.0,14,50
A_baseline,42,118,1.7823076248168945,0.06448734551668167,1.6540634109908554,1.0,15,50
A_baseline,42,119,1.7823076248168945,0.06448734551668167,1.6436674293383229,1.0,16,50
A_baseline,42,120,1.7823076248168945,0.06448734551668167,1.6605633884742428,1.0,17,50
A_baseline,42,121,1.7823076248168945,0.06448734551668167,1.6553549573676392,1.0,18,50
A_baseline,42,122,1.7823076248168945,0.06448734551668167,1.6540962475784193,1.0,19,50
A_baseline,42,123,1.7823076248168945,0.06448734551668167,1.689063411436888,1.0,0,50
A_baseline,42,124,1.7823076248168945,0.06448734551668167,1.6643766478249484,1.0,1,50
A_baseline,42,125,1.7823076248168945,0.06448734551668167,1.6711923863789502,1.0,2,50
A_baseline,42,126,1.7823076248168945,0.06448734551668167,1.654503623517484,1.0,3,50
A_baseline,42,127,1.7823076248168945,0.06448734551668167,1.6578342861293887,1.0,4,50
