rank,ppf_max,sigma_ppf,h_gauss,h_hist,h_traj,cycle_length_days,fitness,ppf_safe,al_hist_flag,al_sigma_flag,pos_0,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,pos_16,pos_17,pos_18,pos_19,pos_20,pos_21,pos_22,pos_23,pos_24,pos_25,pos_26,pos_27,pos_28,pos_29,pos_30
1,1.962273120880127,0.09172309190034866,-0.9700427055358887,1.4805959463119507,-158.49374389648438,344.1728820800781,339.4417250752449,True,True,True,1,1,8,9,9,4,1,1,1,4,9,1,7,9,8,1,8,8,9,9,1,1,1,1,5,1,1,7,4,1,1
2,1.9534893035888672,0.07306467741727829,-1.1974717378616333,1.5024174451828003,-164.05384826660156,342.3700866699219,338.4533922076225,True,True,False,4,1,4,3,3,4,1,4,1,5,7,1,6,5,2,1,9,7,5,7,2,1,1,1,5,8,1,6,5,1,1
3,1.892000675201416,0.0810309648513794,-1.0939854383468628,1.5483522415161133,-162.61801147460938,341.43682861328125,337.5317071080208,True,True,True,3,1,9,7,3,3,1,1,1,7,3,1,8,9,5,1,8,7,6,6,2,1,1,1,5,4,1,7,2,1,1
4,2.3831446170806885,0.08847852051258087,-1.0060572624206543,1.5453531742095947,-176.69432067871094,344.24676513671875,337.07565623521805,True,True,True,1,1,8,9,9,4,1,2,1,6,7,1,9,9,5,1,8,8,9,5,6,1,1,1,7,1,1,5,9,1,1
5,1.8783180713653564,0.07014749199151993,-1.2382166385650635,1.3798929452896118,-161.03529357910156,340.2268981933594,336.84714740514755,True,False,False,7,1,1,8,4,4,1,7,1,9,7,1,8,5,2,1,7,8,9,5,2,1,1,1,5,1,1,8,4,1,1
6,1.9463255405426025,0.07542119920253754,-1.1657284498214722,1.4120302200317383,-161.47622680664062,340.740234375,336.72799748182297,True,False,False,1,1,3,4,8,3,1,1,1,4,9,1,5,9,1,1,7,8,4,6,7,1,1,1,2,1,1,8,1,1,1
7,1.9803273677825928,0.05677429959177971,-1.4497332572937012,1.2274905443191528,-168.88864135742188,339.97149658203125,336.5743263363838,True,False,False,1,1,4,4,1,3,1,1,1,9,6,1,3,5,2,1,9,9,6,8,4,1,1,1,6,9,1,3,8,1,1
8,1.9533599615097046,0.05594721436500549,-1.4644079208374023,1.1343380212783813,-166.0754852294922,339.7249450683594,336.4762286543846,True,False,False,1,1,9,3,6,7,1,4,1,9,3,1,5,9,4,1,7,7,6,8,5,1,1,1,5,6,1,6,1,1,1
9,2.0018393993377686,0.07277169823646545,-1.201489806175232,1.4847009181976318,-163.87501525878906,340.3993835449219,336.11322140693665,True,True,False,3,1,9,3,4,7,1,1,1,8,9,1,6,7,1,1,7,5,6,4,4,1,1,1,5,1,1,7,4,1,1
10,1.9667391777038574,0.06995839625597,-1.2409160137176514,1.343505620956421,-163.4837188720703,339.77734375,335.7992463707924,True,False,False,1,1,3,4,8,7,1,1,1,9,9,1,9,9,2,1,7,8,7,3,2,1,1,1,9,3,1,8,8,1,1
11,1.8839311599731445,0.08129741996526718,-1.0907025337219238,1.5382674932479858,-163.82545471191406,340.2135314941406,335.57506487325384,True,True,True,8,1,9,4,4,8,1,4,1,8,7,1,6,7,5,1,4,9,6,6,7,1,1,1,5,1,1,7,1,1,1
12,1.920804500579834,0.054982539266347885,-1.4818006753921509,1.2911418676376343,-162.0478515625,338.44805908203125,335.46978908777237,True,False,False,3,1,9,9,9,8,1,4,1,8,5,1,6,3,1,1,8,4,6,9,1,1,1,1,5,1,1,2,1,1,1
13,2.0176408290863037,0.06625977158546448,-1.2952338457107544,1.3571007251739502,-168.173828125,339.17254638671875,335.13980853557587,True,False,False,1,1,8,8,9,4,1,1,1,9,5,1,3,6,5,1,8,8,7,7,3,1,1,1,2,7,1,6,6,1,1
14,1.9878895282745361,0.06003882363438606,-1.3938255310058594,1.2969573736190796,-163.6746826171875,338.4770812988281,334.8758535385132,True,False,False,1,1,9,4,3,7,1,4,1,9,9,1,4,1,2,1,8,7,5,2,7,1,1,1,8,1,1,9,5,1,1
15,1.9215089082717896,0.05822424963116646,-1.4245145320892334,1.2730623483657837,-163.54905700683594,338.8034362792969,334.8746556992884,True,False,False,8,1,8,4,4,7,1,9,1,3,9,1,7,6,6,1,7,7,5,8,1,1,1,1,5,2,1,6,1,1,1
