pattern,pred_ppf,sigma_ppf,cycle,priority
"[9, 4, 4, 1, 2, 9, 3, 1, 3, 4, 3, 7, 4, 6, 4, 5, 8, 3, 1, 2, 8, 7, 9, 3, 9, 1, 8, 9, 6, 9, 4]",1.7777814865112305,0.09585574269294739,318.63372802734375,0.05391871245230757
"[2, 4, 3, 2, 3, 8, 2, 1, 6, 4, 3, 9, 3, 1, 2, 9, 2, 8, 6, 2, 5, 9, 2, 8, 8, 2, 3, 4, 9, 5, 5]",1.9075379371643066,0.09999390691518784,316.78265380859375,0.05242037526313143
"[1, 4, 2, 9, 4, 8, 1, 6, 9, 8, 8, 4, 4, 8, 3, 3, 8, 9, 8, 1, 4, 9, 9, 5, 9, 5, 3, 9, 6, 6, 4]",1.9688091278076172,0.09928764402866364,330.28631591796875,0.05043027899253348
"[9, 8, 9, 9, 4, 9, 4, 1, 3, 9, 4, 7, 3, 1, 4, 8, 9, 3, 1, 4, 1, 3, 4, 9, 3, 4, 8, 9, 7, 9, 4]",2.091635227203369,0.10384562611579895,320.26031494140625,0.049648033804925135
"[2, 4, 9, 5, 4, 4, 9, 1, 3, 7, 9, 9, 3, 6, 5, 6, 3, 7, 8, 4, 2, 5, 9, 5, 3, 1, 7, 9, 6, 1, 6]",2.0795350074768066,0.10043362528085709,333.4722595214844,0.04829617035711618
"[9, 4, 5, 9, 4, 4, 5, 7, 9, 8, 9, 1, 4, 3, 9, 8, 8, 8, 9, 7, 8, 3, 9, 3, 9, 6, 7, 9, 8, 7, 4]",2.2231836318969727,0.10635337233543396,310.1962890625,0.047838299531913375
"[3, 1, 9, 1, 7, 9, 3, 2, 8, 4, 4, 6, 4, 5, 8, 7, 4, 7, 2, 6, 5, 8, 7, 7, 3, 6, 7, 9, 9, 7, 3]",1.9729585647583008,0.09408251196146011,322.0671691894531,0.04768598081886477
"[3, 1, 2, 7, 7, 2, 7, 4, 3, 1, 4, 4, 1, 4, 2, 8, 6, 4, 3, 4, 8, 9, 9, 4, 2, 9, 1, 5, 1, 3, 6]",1.945357084274292,0.09266076982021332,305.79486083984375,0.04763172938147274
"[4, 2, 4, 4, 1, 9, 1, 5, 8, 7, 9, 6, 9, 5, 8, 6, 3, 7, 8, 3, 7, 8, 4, 6, 8, 2, 4, 9, 1, 5, 6]",2.129286766052246,0.10133924335241318,328.7745361328125,0.04759302381204149
"[1, 4, 2, 6, 1, 1, 1, 1, 3, 9, 9, 3, 3, 1, 4, 7, 6, 7, 4, 5, 1, 7, 8, 3, 5, 4, 3, 6, 6, 5, 4]",1.773402214050293,0.08403492718935013,338.7427062988281,0.0473862495136805
"[6, 9, 8, 8, 6, 8, 7, 2, 1, 1, 9, 3, 3, 6, 2, 1, 7, 3, 7, 5, 6, 5, 9, 6, 8, 2, 8, 1, 5, 6, 2]",1.8667283058166504,0.08841724693775177,322.6759948730469,0.047364792882528456
"[4, 9, 9, 1, 1, 9, 9, 2, 3, 4, 9, 7, 4, 5, 2, 3, 4, 7, 1, 4, 8, 5, 3, 9, 9, 5, 3, 9, 6, 9, 1]",1.8760985136032104,0.08878355473279953,320.22576904296875,0.04732347835978225
"[6, 7, 9, 6, 9, 6, 1, 1, 2, 8, 8, 4, 8, 5, 8, 8, 1, 9, 6, 5, 6, 8, 1, 3, 1, 6, 5, 4, 2, 8, 1]",2.133765697479248,0.10089316964149475,317.22735595703125,0.0472840680101935
"[3, 4, 9, 1, 5, 8, 4, 2, 3, 9, 1, 7, 4, 5, 2, 4, 4, 9, 1, 7, 6, 6, 8, 2, 3, 2, 9, 8, 6, 9, 5]",1.964242696762085,0.09284983575344086,319.1427917480469,0.04727001843330192
"[1, 8, 4, 3, 2, 8, 2, 8, 1, 1, 8, 3, 9, 5, 1, 8, 4, 7, 1, 4, 7, 5, 9, 1, 9, 6, 7, 9, 6, 8, 6]",1.9309113025665283,0.0911288931965828,306.9513854980469,0.04719473436233027
"[1, 9, 8, 3, 3, 6, 6, 8, 1, 8, 8, 4, 1, 6, 6, 2, 9, 6, 6, 6, 5, 1, 7, 1, 8, 2, 3, 4, 5, 5, 6]",1.940272569656372,0.09124638885259628,325.2976989746094,0.04702758944902614
"[8, 1, 9, 4, 3, 9, 2, 3, 9, 4, 8, 3, 4, 1, 5, 1, 4, 7, 7, 4, 1, 2, 2, 1, 2, 5, 1, 8, 1, 8, 5]",2.1288063526153564,0.1000872477889061,317.39739990234375,0.04701564360248166
"[3, 6, 3, 3, 7, 6, 7, 3, 9, 7, 4, 4, 4, 3, 8, 3, 1, 7, 1, 4, 7, 8, 7, 3, 3, 2, 7, 8, 3, 4, 9]",2.0749106407165527,0.09722210466861725,301.44757080078125,0.046856021606318826
"[9, 4, 8, 8, 2, 9, 2, 8, 9, 7, 9, 3, 7, 4, 9, 8, 9, 9, 3, 9, 1, 9, 8, 3, 8, 7, 8, 9, 7, 4, 6]",2.0988292694091797,0.09830519556999207,320.05078125,0.046838087387440316
"[9, 4, 2, 8, 1, 9, 4, 2, 9, 4, 9, 7, 4, 2, 9, 7, 6, 3, 8, 8, 8, 9, 7, 9, 9, 4, 3, 9, 6, 8, 1]",1.9017205238342285,0.08883100003004074,325.8943176269531,0.046710834849752726
"[2, 1, 7, 8, 8, 6, 9, 1, 3, 4, 4, 8, 4, 5, 5, 9, 6, 4, 7, 5, 5, 3, 1, 4, 3, 1, 2, 9, 2, 5, 5]",1.9419457912445068,0.09050048887729645,325.72406005859375,0.046602970423972705
"[7, 3, 8, 1, 9, 9, 4, 6, 1, 1, 3, 7, 3, 9, 5, 4, 3, 3, 2, 9, 5, 9, 7, 6, 8, 2, 3, 2, 2, 2, 6]",1.9286051988601685,0.08952479809522629,318.012451171875,0.046419428781332664
"[9, 5, 2, 4, 5, 1, 4, 9, 4, 8, 7, 9, 6, 2, 7, 8, 7, 3, 1, 5, 5, 7, 5, 8, 8, 8, 6, 9, 1, 2, 4]",2.2129030227661133,0.10262946784496307,316.04541015625,0.04637773115739426
"[9, 4, 1, 4, 5, 7, 9, 7, 6, 3, 9, 4, 2, 3, 6, 7, 6, 4, 8, 2, 2, 6, 8, 1, 4, 5, 5, 5, 1, 5, 7]",2.2153775691986084,0.10222668945789337,305.4588928222656,0.04614411770484576
"[9, 8, 4, 4, 2, 7, 5, 8, 4, 7, 9, 7, 7, 3, 8, 2, 3, 8, 8, 5, 2, 8, 4, 7, 9, 4, 3, 2, 5, 9, 3]",1.9186797142028809,0.08773104101419449,326.7687072753906,0.04572466922962871
"[6, 4, 4, 1, 7, 3, 5, 9, 8, 9, 4, 2, 9, 8, 8, 1, 3, 3, 8, 5, 6, 4, 4, 8, 3, 4, 1, 9, 9, 5, 6]",2.093825340270996,0.09555341303348541,315.96160888671875,0.0456357870734964
"[7, 4, 9, 7, 2, 4, 3, 2, 3, 4, 9, 7, 1, 4, 5, 2, 1, 2, 4, 4, 2, 8, 4, 9, 9, 4, 8, 9, 4, 1, 6]",2.0241634845733643,0.09146355837583542,304.7904052734375,0.04518583300561827
"[2, 8, 4, 9, 9, 3, 4, 8, 1, 9, 8, 9, 4, 4, 1, 7, 1, 9, 1, 5, 5, 8, 8, 2, 7, 6, 1, 9, 5, 2, 3]",1.88185453414917,0.08502241224050522,323.1893615722656,0.04518009522922588
"[8, 9, 1, 6, 1, 9, 4, 3, 6, 3, 9, 1, 4, 2, 4, 7, 8, 4, 7, 4, 3, 9, 7, 9, 9, 3, 3, 8, 8, 9, 3]",2.223975419998169,0.10040819644927979,316.6335754394531,0.045148049028938195
"[5, 4, 6, 3, 4, 1, 4, 1, 3, 8, 7, 3, 4, 7, 4, 2, 9, 3, 1, 5, 4, 9, 3, 5, 8, 4, 6, 9, 3, 8, 5]",2.0542054176330566,0.09273774176836014,314.06097412109375,0.04514528869752849
"[1, 4, 6, 4, 7, 5, 2, 9, 8, 9, 4, 2, 9, 7, 4, 7, 8, 9, 9, 2, 7, 1, 1, 4, 3, 5, 6, 2, 3, 9, 2]",2.0791006088256836,0.09383121877908707,310.6938781738281,0.045130655654720374
"[9, 4, 2, 1, 4, 5, 6, 1, 3, 9, 3, 3, 4, 9, 7, 7, 3, 4, 8, 5, 4, 8, 1, 2, 9, 9, 3, 5, 6, 5, 8]",2.1600193977355957,0.09741415083408356,312.54144287109375,0.04509871801961004
