arm,seed,gen,best_ppf,sigma,best_fitness,h_sens_pop,div,stag,n_al
A_baseline,42,1,1.8583751916885376,0.061274800449609756,,1.718658390426175,1.0,1,18
A_baseline,42,2,1.8583751916885376,0.061274800449609756,,1.667806176480219,1.0,2,36
A_baseline,42,3,1.8583751916885376,0.061274800449609756,,1.6477796934161912,1.0,3,50
A_baseline,42,4,1.8583751916885376,0.061274800449609756,,1.6234763076816598,1.0,4,50
A_baseline,42,5,1.8583751916885376,0.061274800449609756,,1.6389512672321604,1.0,5,50
A_baseline,42,6,1.8583751916885376,0.061274800449609756,,1.659869298563418,1.0,6,50
A_baseline,42,7,1.8583751916885376,0.061274800449609756,,1.6750708458509862,1.0,7,50
A_baseline,42,8,1.8583751916885376,0.061274800449609756,,1.6762526956164008,1.0,8,50
A_baseline,42,9,1.8583751916885376,0.061274800449609756,,1.6819265889074901,1.0,9,50
A_baseline,42,10,1.8583751916885376,0.061274800449609756,,1.6423222530356945,1.0,10,50
A_baseline,42,11,1.8583751916885376,0.061274800449609756,,1.6664377623576259,1.0,11,50
A_baseline,42,12,1.8583751916885376,0.061274800449609756,,1.6406284273930523,1.0,12,50
A_baseline,42,13,1.8583751916885376,0.061274800449609756,,1.6509598996984942,1.0,13,50
A_baseline,42,14,1.8583751916885376,0.061274800449609756,,1.6700844065977776,1.0,14,50
A_baseline,42,15,1.8583751916885376,0.061274800449609756,,1.6913436780682565,1.0,15,50
A_baseline,42,16,1.8583751916885376,0.061274800449609756,,1.711790128298507,1.0,16,50
A_baseline,42,17,1.8583751916885376,0.061274800449609756,,1.7140378991704057,1.0,17,50
A_baseline,42,18,1.8583751916885376,0.061274800449609756,,1.6546848337238105,1.0,18,50
A_baseline,42,19,1.8583751916885376,0.061274800449609756,,1.6910641280684928,1.0,19,50
A_baseline,42,20,1.8583751916885376,0.061274800449609756,,1.683435766015543,1.0,0,50
A_baseline,42,21,1.8583751916885376,0.061274800449609756,,1.6747545609442274,1.0,1,50
A_baseline,42,22,1.8583751916885376,0.061274800449609756,,1.6528882215742138,1.0,2,50
A_baseline,42,23,1.8583751916885376,0.061274800449609756,,1.6634003055764461,1.0,3,50
A_baseline,42,24,1.8583751916885376,0.061274800449609756,,1.6523381976568543,1.0,4,50
A_baseline,42,25,1.8583751916885376,0.061274800449609756,,1.6559508873601958,1.0,5,50
A_baseline,42,26,1.8583751916885376,0.061274800449609756,,1.6590676033931289,1.0,6,50
A_baseline,42,27,1.8583751916885376,0.061274800449609756,,1.6736747485334866,1.0,7,50
A_baseline,42,28,1.8583751916885376,0.061274800449609756,,1.6657671876275941,1.0,8,50
A_baseline,42,29,1.8583751916885376,0.061274800449609756,,1.641087584107692,1.0,9,50
A_baseline,42,30,1.8583751916885376,0.061274800449609756,,1.6716774072648228,1.0,10,50
A_baseline,42,31,1.8583751916885376,0.061274800449609756,,1.6820768564002126,1.0,11,50
A_baseline,42,32,1.8583751916885376,0.061274800449609756,,1.6604843875040454,1.0,12,50
A_baseline,42,33,1.8583751916885376,0.061274800449609756,,1.660901649717165,1.0,13,50
A_baseline,42,34,1.8583751916885376,0.061274800449609756,,1.6674457273649295,1.0,14,50
A_baseline,42,35,1.8583751916885376,0.061274800449609756,,1.6534671696663459,1.0,15,50
A_baseline,42,36,1.8583751916885376,0.061274800449609756,,1.6554193807260582,1.0,16,50
A_baseline,42,37,1.8583751916885376,0.061274800449609756,,1.6041748683137822,1.0,17,50
A_baseline,42,38,1.8583751916885376,0.061274800449609756,,1.6206448332043746,1.0,18,50
A_baseline,42,39,1.8583751916885376,0.061274800449609756,,1.6597103963320945,1.0,19,50
A_baseline,42,40,1.8583751916885376,0.061274800449609756,,1.6855621984621905,1.0,0,50
A_baseline,42,41,1.8583751916885376,0.061274800449609756,,1.633417515701881,1.0,1,50
A_baseline,42,42,1.8583751916885376,0.061274800449609756,,1.641838213597344,1.0,2,50
A_baseline,42,43,1.848897933959961,0.04964352399110794,,1.636329304506872,1.0,0,50
A_baseline,42,44,1.848897933959961,0.04964352399110794,,1.63712906239904,1.0,1,50
A_baseline,42,45,1.848897933959961,0.04964352399110794,,1.6124483648194539,1.0,2,50
A_baseline,42,46,1.848897933959961,0.04964352399110794,,1.6235783591069985,1.0,3,50
A_baseline,42,47,1.848897933959961,0.04964352399110794,,1.65058740710246,1.0,4,50
A_baseline,42,48,1.848897933959961,0.04964352399110794,,1.639522610023031,1.0,5,50
A_baseline,42,49,1.848897933959961,0.04964352399110794,,1.6529098633403867,1.0,6,50
A_baseline,42,50,1.848897933959961,0.04964352399110794,,1.6710386387496163,1.0,7,50
A_baseline,42,51,1.848897933959961,0.04964352399110794,,1.6830043113621864,1.0,8,50
A_baseline,42,52,1.848897933959961,0.04964352399110794,,1.6375956571164823,1.0,9,50
A_baseline,42,53,1.848897933959961,0.04964352399110794,,1.6512621494971211,1.0,10,50
A_baseline,42,54,1.847588300704956,0.056825291365385056,,1.6686223049267326,1.0,0,50
A_baseline,42,55,1.847588300704956,0.056825291365385056,,1.6650703534991396,1.0,1,50
A_baseline,42,56,1.847588300704956,0.056825291365385056,,1.664956981644006,1.0,2,50
A_baseline,42,57,1.847588300704956,0.056825291365385056,,1.6609826207612175,1.0,3,50
A_baseline,42,58,1.847588300704956,0.056825291365385056,,1.664802860600589,1.0,4,50
A_baseline,42,59,1.847588300704956,0.056825291365385056,,1.6200719143855287,1.0,5,50
A_baseline,42,60,1.847588300704956,0.056825291365385056,,1.6385110702947634,1.0,6,50
A_baseline,42,61,1.847588300704956,0.056825291365385056,,1.6305868967653172,1.0,7,50
A_baseline,42,62,1.847588300704956,0.056825291365385056,,1.6556934957810665,1.0,8,50
A_baseline,42,63,1.847588300704956,0.056825291365385056,,1.598337600983763,1.0,9,50
A_baseline,42,64,1.847588300704956,0.056825291365385056,,1.6336675752148218,1.0,10,50
A_baseline,42,65,1.847588300704956,0.056825291365385056,,1.660412528599236,1.0,11,50
A_baseline,42,66,1.847588300704956,0.056825291365385056,,1.6268532433760636,1.0,12,50
A_baseline,42,67,1.847588300704956,0.056825291365385056,,1.6047815540063408,1.0,13,50
A_baseline,42,68,1.847588300704956,0.056825291365385056,,1.6471571475658564,1.0,14,50
A_baseline,42,69,1.847588300704956,0.056825291365385056,,1.6310351985910825,1.0,15,50
A_baseline,42,70,1.847588300704956,0.056825291365385056,,1.6485056912648783,1.0,16,50
A_baseline,42,71,1.847588300704956,0.056825291365385056,,1.624133701031826,1.0,17,50
A_baseline,42,72,1.847588300704956,0.056825291365385056,,1.6206492378841608,1.0,18,50
A_baseline,42,73,1.847588300704956,0.056825291365385056,,1.6783385609391408,1.0,19,50
A_baseline,42,74,1.847588300704956,0.056825291365385056,,1.6696688852117196,1.0,0,50
A_baseline,42,75,1.847588300704956,0.056825291365385056,,1.6453505678582636,1.0,1,50
A_baseline,42,76,1.847588300704956,0.056825291365385056,,1.5944309019989604,1.0,2,50
A_baseline,42,77,1.847588300704956,0.056825291365385056,,1.5625986486002552,1.0,3,50
A_baseline,42,78,1.847588300704956,0.056825291365385056,,1.5871241343505607,1.0,4,50
A_baseline,42,79,1.847588300704956,0.056825291365385056,,1.6047625062291,1.0,5,50
A_baseline,42,80,1.847588300704956,0.056825291365385056,,1.605239505004178,1.0,6,50
A_baseline,42,81,1.847588300704956,0.056825291365385056,,1.6172058427673734,1.0,7,50
A_baseline,42,82,1.847588300704956,0.056825291365385056,,1.6011370192193157,1.0,8,50
A_baseline,42,83,1.847588300704956,0.056825291365385056,,1.5964858348358717,1.0,9,50
A_baseline,42,84,1.847588300704956,0.056825291365385056,,1.5969666988402318,1.0,10,50
A_baseline,42,85,1.847588300704956,0.056825291365385056,,1.626063334384248,1.0,11,50
A_baseline,42,86,1.847588300704956,0.056825291365385056,,1.5935058333010117,1.0,12,50
A_baseline,42,87,1.847588300704956,0.056825291365385056,,1.5732440433458488,1.0,13,50
A_baseline,42,88,1.847588300704956,0.056825291365385056,,1.598595235926509,1.0,14,50
A_baseline,42,89,1.847588300704956,0.056825291365385056,,1.6059683572296357,1.0,15,50
A_baseline,42,90,1.847588300704956,0.056825291365385056,,1.588017531852513,1.0,16,50
A_baseline,42,91,1.847588300704956,0.056825291365385056,,1.565235186025541,1.0,17,50
A_baseline,42,92,1.847588300704956,0.056825291365385056,,1.5654972709794341,1.0,18,50
A_baseline,42,93,1.847588300704956,0.056825291365385056,,1.5749755950527518,1.0,19,50
A_baseline,42,94,1.847588300704956,0.056825291365385056,,1.622577717221371,1.0,0,50
A_baseline,42,95,1.847588300704956,0.056825291365385056,,1.6424788659669194,1.0,1,50
A_baseline,42,96,1.847588300704956,0.056825291365385056,,1.5816706667174418,1.0,2,50
A_baseline,42,97,1.847588300704956,0.056825291365385056,,1.552571993813272,1.0,3,50
A_baseline,42,98,1.847588300704956,0.056825291365385056,,1.5689576554673508,1.0,4,50
A_baseline,42,99,1.847588300704956,0.056825291365385056,,1.5511911547031998,1.0,5,50
A_baseline,42,100,1.847588300704956,0.056825291365385056,,1.5418698492476282,1.0,6,50
A_baseline,42,101,1.847588300704956,0.056825291365385056,,1.509870760071804,1.0,7,50
A_baseline,42,102,1.847588300704956,0.056825291365385056,,1.4795730051162337,1.0,8,50
A_baseline,42,103,1.847588300704956,0.056825291365385056,,1.5194361342654454,1.0,9,50
A_baseline,42,104,1.847588300704956,0.056825291365385056,,1.4731617583280527,1.0,10,50
A_baseline,42,105,1.847588300704956,0.056825291365385056,,1.4991273981802247,1.0,11,50
A_baseline,42,106,1.847588300704956,0.056825291365385056,,1.5113326985169417,1.0,12,50
A_baseline,42,107,1.847588300704956,0.056825291365385056,,1.5003219801352299,1.0,13,50
A_baseline,42,108,1.847588300704956,0.056825291365385056,,1.5028888264902478,1.0,14,50
A_baseline,42,109,1.847588300704956,0.056825291365385056,,1.4852859745436455,1.0,15,50
A_baseline,42,110,1.847588300704956,0.056825291365385056,,1.4922074567479728,1.0,16,50
A_baseline,42,111,1.847588300704956,0.056825291365385056,,1.4566162637982911,1.0,17,50
A_baseline,42,112,1.847588300704956,0.056825291365385056,,1.50907489979903,1.0,18,50
A_baseline,42,113,1.847588300704956,0.056825291365385056,,1.5190069244817006,1.0,19,50
A_baseline,42,114,1.847588300704956,0.056825291365385056,,1.549114752129472,1.0,0,50
A_baseline,42,115,1.847588300704956,0.056825291365385056,,1.541086575937935,1.0,1,50
A_baseline,42,116,1.847588300704956,0.056825291365385056,,1.5430847103453473,1.0,2,50
A_baseline,42,117,1.847588300704956,0.056825291365385056,,1.5213947497084905,1.0,3,50
A_baseline,42,118,1.847588300704956,0.056825291365385056,,1.505556891008235,1.0,4,50
A_baseline,42,119,1.847588300704956,0.056825291365385056,,1.4891642177910842,1.0,5,50
A_baseline,42,120,1.847588300704956,0.056825291365385056,,1.4884061143804697,1.0,6,50
A_baseline,42,121,1.847588300704956,0.056825291365385056,,1.4938985146864499,1.0,7,50
A_baseline,42,122,1.847588300704956,0.056825291365385056,,1.4640078193146617,1.0,8,50
A_baseline,42,123,1.847588300704956,0.056825291365385056,,1.4812415306072813,1.0,9,50
A_baseline,42,124,1.847588300704956,0.056825291365385056,,1.477846868390052,1.0,10,50
A_baseline,42,125,1.847588300704956,0.056825291365385056,,1.4834082427917652,1.0,11,50
A_baseline,42,126,1.847588300704956,0.056825291365385056,,1.5088260559995068,1.0,12,50
A_baseline,42,127,1.847588300704956,0.056825291365385056,,1.4395116276359077,1.0,13,50
A_baseline,42,128,1.847588300704956,0.056825291365385056,,1.4257893924425187,1.0,14,50
A_baseline,42,129,1.847588300704956,0.056825291365385056,,1.3575432793123003,1.0,15,50
A_baseline,42,130,1.847588300704956,0.056825291365385056,,1.3411878759914486,1.0,16,50
A_baseline,42,131,1.847588300704956,0.056825291365385056,,1.355885733440247,1.0,17,50
A_baseline,42,132,1.847588300704956,0.056825291365385056,,1.3661789318242843,1.0,18,50
A_baseline,42,133,1.847588300704956,0.056825291365385056,,1.4115101494456532,1.0,19,50
A_baseline,42,134,1.847588300704956,0.056825291365385056,,1.4649102435798869,1.0,0,50
A_baseline,42,135,1.847588300704956,0.056825291365385056,,1.493998513611815,1.0,1,50
A_baseline,42,136,1.847588300704956,0.056825291365385056,,1.4835529932234988,1.0,2,50
A_baseline,42,137,1.847588300704956,0.056825291365385056,,1.4344009241981877,1.0,3,50
A_baseline,42,138,1.847588300704956,0.056825291365385056,,1.396853811268114,1.0,4,50
A_baseline,42,139,1.847588300704956,0.056825291365385056,,1.4052298646359107,1.0,5,50
A_baseline,42,140,1.847588300704956,0.056825291365385056,,1.405100787362084,1.0,6,50
A_baseline,42,141,1.847588300704956,0.056825291365385056,,1.37417195217983,1.0,7,50
A_baseline,42,142,1.847588300704956,0.056825291365385056,,1.3888434344684342,1.0,8,50
A_baseline,42,143,1.847588300704956,0.056825291365385056,,1.3664806393452154,1.0,9,50
A_baseline,42,144,1.847588300704956,0.056825291365385056,,1.3423952581760752,1.0,10,50
