arm,entropy_mode,injection_on,escalation_on,best_ppf,best_cycle,best_fitness,elapsed_s,injection_count,hard_reset_count,al_unique_candidates,final_diversity,H_gauss_cv,H_gauss_sigma_corr,H_hist_cv,H_hist_sigma_corr,H_traj_cv,H_traj_sigma_corr
A_no_entropy,none,True,True,1.957000577456462,332.0978228900447,332.0978228900447,43.53000998497009,3,0,0,0.34046653144016226,0.21313303778323833,0.9703009955469711,0.14722493995223493,0.7487333392833808,0.012140050487342702,-0.2607488171719571
A_gauss_only,gauss,True,True,1.9131608352189362,335.6482609148696,335.6482609148696,45.43375015258789,3,0,276,0.3323170731707317,0.18003885990992954,0.9816971557470267,0.10784648111659466,0.7221074938854481,0.012237568605164144,-0.0834553630540829
A_hist_only,hist,True,True,1.9419799890611773,335.9149020518114,335.9149020518114,46.296162605285645,3,0,357,0.3126016260162602,0.2091454996793124,0.9777701351448822,0.10013028084722823,0.6844554547665641,0.009256390958305787,0.1302752612536259
A_traj_only,traj,True,True,1.9474616504443614,335.2253576272306,335.2253576272306,49.192023038864136,3,0,716,0.35020366598778,0.17718373005378377,0.9890798817978921,0.09500674176020715,0.6571876985584529,0.011349794124670574,-0.015001883034404622
A_hist_gauss_combined,hist_gauss,True,True,1.9633182557458417,336.41616134427994,336.41616134427994,51.90514779090881,3,0,281,0.3691598360655738,0.2106674105003099,0.9620383008782195,0.12011627399699285,0.3146181161180492,0.014486123244428054,0.32049593436996276
A_hist_traj_combined,hist_traj,True,True,1.9728936336676872,336.1634703425708,336.1634703425708,57.18143010139465,3,0,520,0.29276985743380857,0.16282862958125285,0.9909782004283149,0.10204628398249278,0.6537639087881297,0.009399555944935419,-0.06141838550034862
B_hist_no_injection,hist,False,False,1.9200103430266584,334.8654008867052,334.8654008867052,65.01735615730286,0,0,358,0.31724489795918365,0.17139297874931395,0.9821594410790216,0.11966173849685097,0.5836417805476103,0.010010265381118124,-0.17835409263846144
B_hist_fixed_injection,hist,True,False,1.9146761152415015,336.74544174066256,336.74544174066256,54.215253829956055,3,0,350,0.3982688391038697,0.17743425913037958,0.974718384646628,0.1180001962280848,0.738079555662206,0.009442651946673724,-0.14481180809248775
B_hist_escalating_injection,hist,True,True,1.914198709163096,335.74898356237856,335.74898356237856,56.46803903579712,3,0,381,0.3983739837398374,0.15595010673112714,0.9908743765255762,0.10770762364066741,0.7273879852202777,0.012573024733580624,-0.026672355410733373
