stage,reflector,bp6,bp15,keff,keff_err_pcm,argmax,argmax_match,mean_abs_err,max_abs_err
1,water,6N,15NW,1.184200514234112,6225.378026023689,0,False,0.6637051649821895,3.001634679886605
1,steel,6N,15NW,1.1817112659027411,6002.087002398735,0,False,0.6616783027372375,2.972020862810812
2,steel,6N,15NW,1.1817112659027078,6002.087002395748,0,False,0.6616783027372375,2.972020862810812
2,steel,6N,15NE,1.203304154863217,7939.0164032308085,0,False,0.6476396399006338,2.641214403822569
2,steel,6N,15SW,1.2040279156535652,8003.93933024445,0,False,0.6684387403355606,4.068754008980532
2,steel,6N,15SE,1.2000467690540773,7646.8217666018345,0,False,0.7003440503634317,3.2373530872190512
2,steel,6S,15NW,1.2014084217725705,7768.964995745464,0,False,0.568701610447883,3.318740053515538
2,steel,6S,15NE,1.205049346779632,8095.563937893067,0,False,0.6586737112408464,4.790679458301613
2,steel,6S,15SW,1.188008103567985,6566.927123070059,0,False,0.5789987870618731,2.4432581903485335
2,steel,6S,15SE,1.1790173656578329,5760.438254201011,0,False,0.6643801704070467,2.6642091568501653
2,steel,6E,15NW,1.1999356558724446,7636.854671012247,0,False,0.6452219445663254,3.0125770409210784
2,steel,6E,15NE,1.1837646426456723,6186.27939053393,0,False,0.7051588445119593,3.266624177958101
2,steel,6E,15SW,1.18610202175893,6395.947412892892,0,False,0.6114813976933506,3.1175818062883733
2,steel,6E,15SE,1.184071771267284,6213.829500115168,0,False,0.6136827784967825,3.599116717268706
2,steel,6W,15NW,1.1895254349607927,6703.03507003881,0,False,0.61479348748791,2.94342178506251
2,steel,6W,15NE,1.2043487811132747,8032.7216642693475,0,False,0.6159959585470685,3.844078155736903
2,steel,6W,15SW,1.1973828929166306,7407.866246558178,0,False,0.6725612963913586,3.831174777336815
2,steel,6W,15SE,1.1988516927167094,7539.620803436439,0,False,0.6699465828179475,2.193329916514335
