rank,dmd_relerr_mean,dmd_relerr_std,pod_relerr_mean,n_features_dmd,n_features_raw
2,0.03594742287764724,0.013335387303698796,0.029810957485298495,8,930
3,0.014876159794198577,0.005515340410833583,0.00942861401058306,12,930
4,0.007342209531345333,0.004034988847937716,0.0036874957552966384,16,930
6,0.00343201630419121,0.001622984227512073,0.0010467312692507588,24,930
8,0.004317108314220166,0.0026580219503286946,0.0005089457890990247,32,930
12,0.005338286169768837,0.0040781125201426885,0.00020451717310999024,48,930
