pattern,pred_ppf,sigma_ppf,cycle,priority
"[6, 9, 9, 8, 8, 7, 2, 2, 2, 2, 8, 6, 5, 9, 4, 4, 4, 7, 3, 6, 5, 2, 9, 2, 2, 6, 6, 8, 6, 6, 4]",2.117875099182129,0.1378384828567505,320.00152587890625,0.06508335540024285
"[5, 4, 8, 2, 1, 4, 5, 2, 3, 8, 3, 3, 5, 9, 1, 8, 9, 5, 9, 6, 6, 9, 3, 9, 7, 5, 7, 4, 5, 5, 5]",1.9108296632766724,0.10487398505210876,323.75555419921875,0.054883976412787916
"[4, 7, 2, 9, 4, 4, 3, 3, 9, 9, 9, 3, 9, 4, 6, 1, 8, 7, 1, 5, 6, 7, 7, 7, 5, 1, 3, 3, 1, 1, 2]",1.9792524576187134,0.10601858049631119,332.4071350097656,0.053564933833115363
"[7, 4, 4, 3, 2, 4, 8, 6, 5, 8, 4, 7, 1, 2, 7, 1, 9, 9, 9, 6, 5, 7, 9, 2, 5, 5, 7, 2, 3, 5, 5]",1.9158658981323242,0.1021498441696167,319.1982116699219,0.05331781882613928
"[8, 2, 1, 3, 7, 5, 3, 2, 7, 3, 6, 9, 3, 8, 3, 4, 9, 9, 7, 1, 6, 1, 8, 2, 2, 5, 2, 9, 5, 5, 8]",2.122849941253662,0.1122836023569107,318.7532653808594,0.052892833959694296
"[1, 3, 1, 8, 7, 7, 9, 3, 9, 7, 9, 3, 9, 8, 6, 9, 8, 4, 4, 5, 7, 7, 7, 9, 5, 3, 7, 5, 1, 5, 8]",2.063833475112915,0.1082516610622406,326.4543762207031,0.052451716631159585
"[5, 4, 5, 8, 8, 1, 6, 5, 3, 7, 9, 8, 7, 5, 6, 1, 1, 6, 3, 5, 6, 6, 4, 9, 3, 6, 5, 8, 6, 6, 5]",2.087094783782959,0.10912656784057617,318.3040466308594,0.05228632470464731
"[5, 4, 8, 9, 3, 1, 5, 3, 2, 7, 1, 8, 4, 2, 2, 9, 8, 3, 3, 6, 6, 4, 4, 5, 6, 5, 1, 2, 7, 8, 7]",2.123438835144043,0.11017269641160965,314.0436706542969,0.051884067816847804
"[7, 4, 6, 3, 2, 4, 3, 3, 2, 4, 4, 8, 8, 7, 8, 5, 4, 9, 1, 6, 5, 5, 3, 8, 7, 5, 7, 4, 5, 8, 2]",2.1922881603240967,0.11335426568984985,313.4493408203125,0.05170589160468783
"[3, 3, 8, 9, 5, 4, 5, 2, 1, 7, 9, 3, 8, 7, 1, 8, 8, 9, 9, 6, 7, 1, 3, 9, 6, 5, 6, 2, 3, 5, 2]",1.8772668838500977,0.09696294367313385,335.0997009277344,0.05165109599290224
"[1, 8, 3, 6, 4, 8, 7, 7, 1, 9, 1, 9, 8, 9, 9, 4, 4, 3, 5, 9, 7, 5, 8, 4, 5, 4, 3, 7, 2, 6, 2]",1.9151030778884888,0.09853316843509674,321.0523986816406,0.05145055538899754
"[8, 6, 9, 4, 3, 9, 8, 9, 9, 8, 2, 3, 8, 3, 5, 4, 3, 2, 9, 5, 1, 7, 4, 2, 1, 5, 4, 9, 1, 9, 1]",2.028576612472534,0.10350470244884491,314.61944580078125,0.05102328932965403
"[5, 8, 8, 3, 9, 8, 9, 6, 4, 7, 6, 4, 8, 7, 2, 8, 9, 4, 7, 5, 7, 3, 7, 1, 6, 1, 7, 4, 6, 2, 5]",2.1924166679382324,0.1107579842209816,323.3804931640625,0.05051865155107024
"[7, 1, 2, 6, 4, 9, 8, 3, 9, 8, 9, 3, 6, 8, 9, 4, 8, 4, 5, 3, 7, 4, 7, 7, 5, 2, 5, 9, 1, 1, 1]",2.1406290531158447,0.10782525688409805,325.29327392578125,0.05037080401966255
"[2, 1, 7, 8, 8, 6, 9, 1, 3, 4, 4, 8, 4, 5, 5, 9, 6, 4, 7, 5, 5, 3, 1, 4, 3, 1, 2, 9, 2, 5, 5]",1.8610029220581055,0.09372803568840027,324.881103515625,0.050364233292289555
"[5, 4, 8, 5, 8, 2, 7, 3, 9, 9, 8, 4, 3, 7, 3, 3, 1, 6, 8, 6, 1, 8, 7, 1, 5, 8, 6, 1, 1, 5, 5]",1.9967596530914307,0.10030011832714081,308.13409423828125,0.05023141765732105
"[7, 1, 9, 4, 4, 8, 1, 3, 2, 9, 4, 4, 3, 1, 3, 8, 8, 7, 3, 4, 9, 8, 8, 5, 3, 7, 4, 9, 6, 5, 9]",2.0764553546905518,0.10416150838136673,313.3863525390625,0.05016310992815912
"[1, 4, 2, 8, 4, 7, 5, 5, 9, 8, 9, 3, 8, 8, 6, 4, 8, 7, 8, 8, 2, 7, 7, 2, 5, 2, 1, 9, 6, 5, 8]",2.118131399154663,0.10559654980897903,328.193115234375,0.049853611535861556
"[7, 8, 3, 3, 2, 8, 5, 5, 7, 7, 9, 2, 1, 6, 6, 4, 3, 4, 3, 5, 7, 7, 7, 1, 5, 2, 5, 5, 1, 6, 6]",2.0531716346740723,0.10170789062976837,296.82037353515625,0.0495369404949788
"[7, 9, 1, 4, 1, 9, 3, 6, 2, 7, 3, 6, 8, 8, 6, 3, 8, 3, 7, 6, 6, 4, 8, 2, 8, 5, 7, 3, 9, 6, 5]",2.172116756439209,0.10693854838609695,320.9800109863281,0.049232389942524664
"[7, 8, 9, 8, 3, 4, 3, 1, 7, 7, 3, 1, 3, 5, 4, 1, 8, 3, 2, 5, 5, 6, 3, 2, 9, 1, 9, 7, 1, 7, 2]",1.8503644466400146,0.0901954174041748,324.0127868652344,0.04874465072181072
"[3, 4, 2, 8, 1, 7, 5, 5, 9, 6, 9, 8, 6, 8, 6, 9, 8, 6, 1, 5, 5, 7, 7, 2, 5, 2, 5, 8, 2, 5, 6]",2.058985471725464,0.10027679055929184,319.4615783691406,0.04870201525668999
"[5, 9, 2, 3, 8, 1, 9, 4, 3, 7, 3, 4, 1, 5, 7, 6, 1, 4, 3, 6, 2, 8, 9, 9, 1, 2, 6, 2, 6, 2, 5]",2.1868438720703125,0.10585436969995499,307.2204895019531,0.04840506569619699
"[4, 4, 2, 8, 6, 9, 6, 3, 9, 1, 9, 1, 3, 8, 9, 7, 8, 3, 3, 6, 5, 9, 4, 2, 5, 2, 9, 5, 4, 5, 1]",2.035012722015381,0.09838005155324936,307.05133056640625,0.04834367969559361
"[9, 6, 1, 9, 3, 3, 9, 7, 8, 4, 3, 9, 1, 7, 4, 9, 9, 3, 3, 4, 8, 4, 4, 4, 6, 5, 1, 2, 1, 3, 7]",2.2066447734832764,0.10636573284864426,302.0723571777344,0.04820245012897643
"[5, 3, 2, 3, 9, 9, 5, 7, 1, 3, 7, 4, 8, 5, 1, 4, 1, 7, 9, 5, 7, 3, 4, 6, 5, 3, 3, 5, 1, 9, 5]",1.957737684249878,0.09435363858938217,325.132568359375,0.04819521591337123
"[2, 1, 1, 4, 7, 2, 7, 2, 1, 7, 8, 7, 9, 8, 6, 4, 2, 3, 6, 8, 5, 4, 4, 1, 5, 7, 6, 9, 2, 4, 7]",2.163059711456299,0.10359353572130203,327.0556335449219,0.04789210731471185
"[7, 9, 5, 8, 4, 1, 5, 7, 9, 7, 9, 3, 6, 8, 6, 4, 8, 7, 1, 5, 5, 7, 7, 2, 3, 2, 5, 1, 5, 5, 8]",1.99775230884552,0.09529033303260803,305.6116638183594,0.04769874869469008
"[1, 4, 9, 7, 4, 9, 5, 4, 9, 1, 9, 3, 5, 2, 9, 1, 4, 7, 8, 5, 5, 7, 7, 2, 5, 2, 5, 4, 1, 5, 3]",2.1022720336914062,0.10016030818223953,313.5684814453125,0.04764381532610293
