pattern,pred_ppf,sigma_ppf,h_gauss,h_hist,h_traj,cycle,priority,entropy_mode
"[3, 1, 3, 1, 8, 7, 1, 5, 1, 4, 1, 1, 8, 8, 9, 1, 9, 4, 9, 8, 7, 1, 1, 1, 2, 6, 1, 2, 5, 1, 1]",1.9074933528900146,0.11516054719686508,-0.7424895763397217,1.8155263662338257,-163.23159790039062,317.3841552734375,302.0817866384535,combined
"[4, 1, 4, 3, 9, 8, 1, 2, 1, 1, 8, 1, 1, 9, 1, 1, 4, 3, 7, 5, 6, 1, 1, 1, 6, 5, 1, 1, 5, 1, 1]",1.803760051727295,0.09363304823637009,-0.949433445930481,1.6985833644866943,-159.44998168945312,318.0941162109375,299.54598122605626,combined
"[3, 1, 4, 6, 3, 1, 1, 5, 1, 7, 9, 1, 3, 3, 2, 1, 9, 8, 4, 5, 2, 1, 1, 1, 5, 1, 1, 6, 4, 1, 1]",1.859713077545166,0.08965371549129486,-0.9928621053695679,1.6297837495803833,-161.45687866210938,336.33514404296875,294.75152056577105,combined
"[9, 1, 1, 7, 9, 4, 1, 6, 1, 4, 8, 1, 8, 9, 9, 1, 4, 4, 3, 1, 5, 1, 1, 1, 7, 1, 1, 6, 8, 1, 1]",1.8923567533493042,0.09767351299524307,-0.9071866869926453,1.769316554069519,-162.5220489501953,314.81365966796875,294.3444591869036,combined
"[4, 1, 8, 1, 1, 4, 1, 1, 1, 4, 9, 1, 6, 6, 9, 1, 1, 9, 9, 2, 1, 1, 1, 1, 5, 4, 1, 6, 6, 1, 1]",1.833207607269287,0.08572083711624146,-1.037721037864685,1.6146495342254639,-159.4143829345703,333.4642028808594,293.7078833949384,combined
"[2, 1, 4, 3, 3, 9, 1, 4, 1, 9, 2, 1, 7, 8, 2, 1, 3, 9, 4, 5, 7, 1, 1, 1, 5, 5, 1, 3, 6, 1, 1]",1.900254487991333,0.09594212472438812,-0.9250717163085938,1.702760934829712,-165.4515838623047,325.7027282714844,291.8522722722798,combined
"[7, 1, 8, 3, 8, 9, 1, 4, 1, 1, 9, 1, 8, 9, 6, 1, 8, 9, 5, 5, 7, 1, 1, 1, 2, 9, 1, 1, 2, 1, 1]",1.8923707008361816,0.09338203817605972,-0.9521177411079407,1.708230972290039,-163.63575744628906,323.00152587890625,291.5712649684434,combined
"[8, 1, 4, 5, 7, 1, 1, 1, 1, 9, 9, 1, 9, 1, 8, 1, 4, 7, 8, 3, 2, 1, 1, 1, 8, 5, 1, 6, 1, 1, 1]",1.9211145639419556,0.10273630172014236,-0.8566511869430542,1.7190887928009033,-167.71315002441406,325.10498046875,290.91655853373265,combined
"[9, 1, 8, 3, 8, 7, 1, 4, 1, 4, 8, 1, 7, 2, 2, 1, 1, 3, 9, 9, 6, 1, 1, 1, 1, 1, 1, 7, 5, 1, 1]",1.867004156112671,0.10312481224536896,-0.8528768420219421,1.6820451021194458,-165.1552734375,322.632080078125,290.6696365059578,combined
"[3, 1, 8, 8, 9, 4, 1, 2, 1, 4, 8, 1, 9, 8, 2, 1, 9, 4, 8, 9, 6, 1, 1, 1, 1, 9, 1, 7, 6, 1, 1]",1.9199533462524414,0.08924905210733414,-0.9973857402801514,1.700083613395691,-161.28817749023438,326.9400939941406,289.4993297347935,combined
"[7, 1, 4, 1, 1, 4, 1, 5, 1, 9, 9, 1, 8, 4, 3, 1, 4, 1, 6, 6, 8, 1, 1, 1, 6, 4, 1, 8, 5, 1, 1]",1.810092568397522,0.08784151822328568,-1.0132824182510376,1.6245721578598022,-161.31906127929688,321.04095458984375,288.1365944088326,combined
"[4, 1, 2, 8, 4, 4, 1, 7, 1, 3, 4, 1, 7, 2, 2, 1, 8, 6, 3, 7, 6, 1, 1, 1, 5, 1, 1, 4, 1, 1, 1]",1.8995757102966309,0.08569084852933884,-1.038070797920227,1.6523735523223877,-168.0938720703125,330.5516357421875,287.5349953579935,combined
"[1, 1, 3, 8, 9, 9, 1, 4, 1, 4, 4, 1, 9, 2, 5, 1, 7, 7, 9, 2, 7, 1, 1, 1, 8, 5, 1, 7, 2, 1, 1]",1.9463648796081543,0.11127279698848724,-0.776832103729248,1.6745895147323608,-162.9938201904297,332.97650146484375,286.48208635755,combined
"[2, 1, 3, 9, 3, 4, 1, 4, 1, 9, 9, 1, 6, 4, 9, 1, 8, 7, 4, 2, 9, 1, 1, 1, 2, 1, 1, 7, 1, 1, 1]",1.9330978393554688,0.08767763525247574,-1.0151499509811401,1.663262963294983,-164.85739135742188,332.9209899902344,286.44947743017747,combined
"[8, 1, 9, 4, 8, 3, 1, 4, 1, 8, 7, 1, 6, 9, 5, 1, 4, 9, 6, 6, 9, 1, 1, 1, 5, 6, 1, 7, 7, 1, 1]",1.968323826789856,0.08747778832912445,-1.0174318552017212,1.7254141569137573,-166.13577270507812,325.17169189453125,285.04230246257146,combined
"[9, 1, 8, 1, 6, 9, 1, 5, 1, 4, 8, 1, 3, 5, 1, 1, 7, 9, 2, 2, 6, 1, 1, 1, 7, 5, 1, 3, 6, 1, 1]",1.8538641929626465,0.08555060625076294,-1.0397088527679443,1.6730893850326538,-161.15956115722656,315.7293395996094,284.94164982044623,combined
"[8, 1, 8, 4, 1, 4, 1, 4, 1, 4, 9, 1, 3, 2, 5, 1, 2, 7, 9, 6, 6, 1, 1, 1, 7, 4, 1, 7, 5, 1, 1]",1.8857781887054443,0.09066976606845856,-0.9815925359725952,1.6438877582550049,-164.2771453857422,325.63720703125,283.867284927725,combined
"[4, 1, 1, 4, 3, 1, 1, 6, 1, 9, 5, 1, 3, 7, 1, 1, 4, 3, 7, 5, 5, 1, 1, 1, 2, 2, 1, 8, 2, 1, 1]",1.8019195795059204,0.07998335361480713,-1.106998085975647,1.5501909255981445,-161.8169403076172,329.75616455078125,283.6889815015236,combined
"[9, 1, 7, 3, 8, 7, 1, 4, 1, 4, 7, 1, 4, 9, 8, 1, 1, 9, 9, 6, 8, 1, 1, 1, 6, 1, 1, 7, 7, 1, 1]",1.8273111581802368,0.09180229902267456,-0.9691793322563171,1.625105619430542,-165.01046752929688,318.91973876953125,283.6287479955384,combined
"[1, 1, 9, 7, 3, 6, 1, 2, 1, 9, 9, 1, 8, 4, 2, 1, 9, 7, 6, 7, 4, 1, 1, 1, 8, 8, 1, 3, 1, 1, 1]",1.9579507112503052,0.09137293696403503,-0.9738675951957703,1.662359595298767,-158.82948303222656,333.98846435546875,283.56620096921057,combined
"[3, 1, 4, 1, 7, 4, 1, 2, 1, 4, 8, 1, 8, 6, 1, 1, 3, 9, 4, 7, 2, 1, 1, 1, 9, 6, 1, 7, 1, 1, 1]",1.8491592407226562,0.08358138054609299,-1.0629960298538208,1.5835739374160767,-160.28707885742188,330.83428955078125,283.31809596524715,combined
"[3, 1, 9, 8, 4, 4, 1, 7, 1, 7, 3, 1, 8, 5, 2, 1, 7, 7, 1, 6, 2, 1, 1, 1, 5, 1, 1, 8, 5, 1, 1]",1.9570114612579346,0.10480283200740814,-0.8367359638214111,1.72981858253479,-167.0433807373047,320.1420593261719,282.97606389148996,combined
"[2, 1, 4, 9, 8, 9, 1, 3, 1, 4, 1, 1, 9, 2, 1, 1, 9, 1, 7, 5, 2, 1, 1, 1, 2, 1, 1, 7, 5, 1, 1]",1.8429443836212158,0.07850988954305649,-1.1255921125411987,1.5981112718582153,-163.0465850830078,325.1847839355469,281.98419403132294,combined
"[1, 1, 3, 3, 4, 3, 1, 6, 1, 4, 7, 1, 9, 9, 5, 1, 7, 8, 8, 2, 3, 1, 1, 1, 3, 5, 1, 7, 1, 1, 1]",1.9219874143600464,0.09594760835170746,-0.9250144362449646,1.6181186437606812,-163.10548400878906,334.5401916503906,281.64879515000126,combined
"[3, 1, 9, 4, 7, 3, 1, 1, 1, 7, 9, 1, 7, 9, 5, 1, 8, 8, 8, 6, 9, 1, 1, 1, 5, 1, 1, 7, 1, 1, 1]",1.9593799114227295,0.09174549579620361,-0.9697986245155334,1.6613928079605103,-169.94947814941406,331.78411865234375,281.3254662791782,combined
