position,sensitivity,sensitivity_norm
pos_0,0.6871757,0.4912226
pos_1,1.398909,1.0
pos_2,0.85536116,0.61144876
pos_3,0.4716035,0.33712238
pos_4,0.31945866,0.22836272
pos_5,0.28218803,0.20172007
pos_6,0.4443808,0.31766242
pos_7,0.45536187,0.32551214
pos_8,1.2196269,0.8718415
pos_9,1.2170812,0.8700217
pos_10,0.5822908,0.4162464
pos_11,0.36690673,0.26228064
pos_12,0.53556174,0.38284245
pos_13,0.5651194,0.40397152
pos_14,0.4341139,0.31032318
pos_15,0.5586058,0.39931533
pos_16,0.48342288,0.34557137
pos_17,0.38750646,0.2770062
pos_18,0.4174719,0.29842678
pos_19,0.38594672,0.27589124
pos_20,0.4151908,0.29679614
pos_21,0.45633778,0.32620978
pos_22,0.5989645,0.42816547
pos_23,0.46681038,0.33369604
pos_24,0.282536,0.20196882
pos_25,0.32878485,0.23502949
pos_26,0.52598405,0.3759959
pos_27,0.6218611,0.44453293
pos_28,0.39480263,0.28222182
pos_29,0.36055398,0.25773942
pos_30,0.24823992,0.17745252
