seed,best_ppf,best_cycle,best_sigma,best_fitness,time_s,n_al,div_final
42,1.741805911064148,321.7400207519531,0.0562649704515934,,588.0145468711853,50,1.0
137,1.7522093057632446,331.7904968261719,0.06763485074043274,,591.8239130973816,50,1.0
271,1.6992030143737793,296.28997802734375,0.07087486237287521,,616.042158126831,50,1.0
509,1.7572953701019287,300.12469482421875,0.0661608949303627,,593.9335458278656,50,1.0
1023,1.7324638366699219,318.7440490722656,0.05735545977950096,,591.614563703537,50,1.0
