seed,gen,pattern,ppf_pred,sigma,h_sens_pop,sens_novelty,composite,pos_0,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,pos_16,pos_17,pos_18,pos_19,pos_20,pos_21,pos_22,pos_23,pos_24,pos_25,pos_26,pos_27,pos_28,pos_29,pos_30
42,2,"[5, 1, 3, 4, 1, 1, 4, 5, 6, 1, 4, 4, 1, 2, 5, 1, 3, 3, 7, 1, 1, 1, 8, 1, 7, 1, 1, 1, 9, 5, 1]",4.197508811950684,0.1367613822221756,1.6955383907059447,32.06304931640625,1.4634225368499756,5,1,3,4,1,1,4,5,6,1,4,4,1,2,5,1,3,3,7,1,1,1,8,1,7,1,1,1,9,5,1
42,1,"[4, 6, 5, 3, 3, 6, 1, 3, 7, 3, 1, 4, 5, 6, 7, 2, 4, 1, 3, 3, 4, 1, 4, 5, 1, 1, 9, 6, 9, 1, 1]",2.446505308151245,0.08186456561088562,1.6903256300444942,38.610107421875,1.3686772584915161,4,6,5,3,3,6,1,3,7,3,1,4,5,6,7,2,4,1,3,3,4,1,4,5,1,1,9,6,9,1,1
42,4,"[9, 3, 3, 1, 8, 4, 3, 6, 4, 9, 8, 5, 6, 1, 5, 3, 9, 8, 1, 1, 6, 3, 1, 1, 5, 3, 4, 1, 4, 1, 1]",2.157726287841797,0.09102917462587357,1.6978983759848574,38.24264144897461,1.3582942485809326,9,3,3,1,8,4,3,6,4,9,8,5,6,1,5,3,9,8,1,1,6,3,1,1,5,3,4,1,4,1,1
42,1,"[6, 2, 1, 5, 4, 1, 1, 5, 8, 3, 4, 1, 6, 4, 5, 1, 4, 3, 9, 1, 1, 1, 1, 1, 8, 1, 5, 7, 4, 4, 6]",3.60845685005188,0.10093346238136292,1.6903256300444942,35.698219299316406,1.2675163745880127,6,2,1,5,4,1,1,5,8,3,4,1,6,4,5,1,4,3,9,1,1,1,1,1,8,1,5,7,4,4,6
42,2,"[4, 5, 4, 3, 1, 4, 4, 4, 1, 4, 8, 9, 6, 7, 1, 6, 3, 2, 7, 1, 1, 1, 1, 1, 1, 6, 5, 5, 3, 1, 4]",2.360814094543457,0.10283210128545761,1.6955383907059447,35.5159912109375,1.2391020059585571,4,5,4,3,1,4,4,4,1,4,8,9,6,7,1,6,3,2,7,1,1,1,1,1,1,6,5,5,3,1,4
42,4,"[6, 1, 5, 7, 3, 4, 1, 4, 1, 7, 5, 2, 8, 1, 2, 1, 4, 7, 5, 5, 1, 1, 3, 5, 5, 1, 6, 1, 1, 9, 1]",2.8461415767669678,0.09535529464483261,1.6978983759848574,36.43634033203125,1.2355886697769165,6,1,5,7,3,4,1,4,1,7,5,2,8,1,2,1,4,7,5,5,1,1,3,5,5,1,6,1,1,9,1
42,1,"[1, 6, 1, 1, 1, 1, 5, 5, 1, 4, 3, 4, 9, 4, 5, 1, 1, 4, 1, 6, 1, 3, 2, 4, 1, 4, 5, 4, 1, 1, 1]",2.8284029960632324,0.1338861882686615,1.6903256300444942,31.159339904785156,1.1956573724746704,1,6,1,1,1,1,5,5,1,4,3,4,9,4,5,1,1,4,1,6,1,3,2,4,1,4,5,4,1,1,1
42,3,"[7, 5, 3, 4, 1, 1, 6, 1, 1, 1, 8, 8, 1, 1, 2, 4, 4, 1, 4, 3, 1, 1, 3, 4, 1, 1, 1, 2, 1, 3, 4]",3.9947898387908936,0.13136190176010132,1.6857814920678664,32.76217269897461,1.179067850112915,7,5,3,4,1,1,6,1,1,1,8,8,1,1,2,4,4,1,4,3,1,1,3,4,1,1,1,2,1,3,4
42,4,"[5, 1, 5, 5, 1, 5, 1, 4, 1, 1, 8, 3, 9, 7, 4, 4, 4, 9, 7, 7, 9, 5, 3, 4, 8, 1, 1, 6, 4, 3, 6]",4.212278842926025,0.08372186124324799,1.6978983759848574,38.391204833984375,1.1377196311950684,5,1,5,5,1,5,1,4,1,1,8,3,9,7,4,4,4,9,7,7,9,5,3,4,8,1,1,6,4,3,6
42,3,"[1, 1, 1, 5, 1, 6, 4, 2, 5, 3, 1, 3, 3, 7, 3, 5, 1, 9, 4, 7, 6, 4, 3, 1, 1, 1, 6, 1, 4, 1, 5]",4.474043846130371,0.12062345445156097,1.6857814920678664,33.84423828125,1.1294485330581665,1,1,1,5,1,6,4,2,5,3,1,3,3,7,3,5,1,9,4,7,6,4,3,1,1,1,6,1,4,1,5
42,4,"[4, 1, 5, 7, 9, 1, 1, 4, 5, 3, 3, 1, 8, 3, 1, 4, 4, 1, 6, 5, 4, 5, 6, 4, 3, 3, 4, 4, 4, 8, 5]",3.3254425525665283,0.09015259146690369,1.6978983759848574,36.41175842285156,1.059327483177185,4,1,5,7,9,1,1,4,5,3,3,1,8,3,1,4,4,1,6,5,4,5,6,4,3,3,4,4,4,8,5
42,1,"[5, 3, 6, 4, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 5, 3, 4, 3, 1, 5, 5, 4, 3, 1, 6, 1, 2, 4, 5, 5, 4]",2.548693895339966,0.13059361279010773,1.6903256300444942,30.869844436645508,1.0477079153060913,5,3,6,4,1,1,5,1,1,1,1,1,1,1,5,3,4,3,1,5,5,4,3,1,6,1,2,4,5,5,4
