seed,gen,best_ppf,best_fit,sigma,h_sens_pop,div,stag,n_al_global
137,120,1.9831373691558838,341.4464111328125,0.07102782279253006,1.5848670681039108,1.0,11,64
137,121,1.9831373691558838,341.4464111328125,0.07102782279253006,1.562423635931549,1.0,12,64
137,122,1.9831373691558838,341.4464111328125,0.07102782279253006,1.5732930291849812,1.0,13,64
137,123,1.9831373691558838,341.4464111328125,0.07102782279253006,1.5498500452586852,1.0,14,64
137,124,1.9831373691558838,341.4464111328125,0.07102782279253006,1.5859243818815094,1.0,0,64
137,125,1.9831373691558838,341.4464111328125,0.07102782279253006,1.5734391454873378,1.0,1,64
137,126,1.9831373691558838,341.4464111328125,0.07102782279253006,1.5574697137647173,1.0,2,64
137,127,1.9831373691558838,341.4464111328125,0.07102782279253006,1.519591593241657,1.0,3,64
137,128,1.9831373691558838,341.4464111328125,0.07102782279253006,1.5417806539601793,1.0,4,64
137,129,1.9831373691558838,341.4464111328125,0.07102782279253006,1.5542743429494053,1.0,5,64
137,130,1.9831373691558838,341.4464111328125,0.07102782279253006,1.5733854868863855,1.0,6,64
137,131,1.9831373691558838,341.4464111328125,0.07102782279253006,1.5777436493001802,1.0,7,64
137,132,1.9831373691558838,341.4464111328125,0.07102782279253006,1.5712622224472332,1.0,8,64
137,133,1.9831373691558838,341.4464111328125,0.07102782279253006,1.5665578049307973,1.0,9,64
137,134,1.9831373691558838,341.4464111328125,0.07102782279253006,1.546701181183036,1.0,10,64
137,135,1.9831373691558838,341.4464111328125,0.07102782279253006,1.5150659825749249,1.0,11,64
137,136,1.9831373691558838,341.4464111328125,0.07102782279253006,1.5254313762527587,1.0,12,64
137,137,1.9831373691558838,341.4464111328125,0.07102782279253006,1.5064955657703383,1.0,13,64
137,138,1.9831373691558838,341.4464111328125,0.07102782279253006,1.522375731121544,1.0,14,64
137,139,1.9831373691558838,341.4464111328125,0.07102782279253006,1.5523440111888072,1.0,0,64
137,140,1.9831373691558838,341.4464111328125,0.07102782279253006,1.51916230643927,1.0,1,64
137,141,1.9831373691558838,341.4464111328125,0.07102782279253006,1.508299394872476,1.0,2,64
137,142,1.9831373691558838,341.4464111328125,0.07102782279253006,1.5266391543629896,1.0,3,64
137,143,1.9831373691558838,341.4464111328125,0.07102782279253006,1.5350092639084931,1.0,4,64
