arm,gen,entropy_mode,injection_on,escalation_on,best_ppf,cycle,fitness,H_gauss,H_hist,H_traj,sigma,diversity,rev_rate,n_empires,temperature,stagnation_counter,escalation_round,cap_hits_in_a_row,injected_this_gen,hard_reset_fired,al_candidates_total
A_no_entropy,0,none,True,True,1.8886265494616423,329.12361578467215,329.12361578467215,-1.3359180409122138,1.8065071652616693,-187.02248474188082,0.06361814350287312,0.8895372233400403,0.08313883299798791,6,2.0,0,0,0,0,False,0
A_no_entropy,1,none,True,True,1.957000577456462,332.0978228900447,332.0978228900447,-1.7273188593381532,1.5292482930376914,-191.9470811355461,0.04301280604860589,0.8677189409368635,0.08968431771894092,6,1.851749424574581,0,0,0,0,False,0
A_no_entropy,2,none,True,True,1.957000577456462,332.0978228900447,332.0978228900447,-1.7273188593381532,1.5292482930376914,-191.9470811355461,0.04301280604860589,0.8532323232323232,0.09403030303030302,6,1.7144879657061456,1,0,0,0,False,0
A_no_entropy,3,none,True,True,1.957000577456462,332.0978228900447,332.0978228900447,-1.7273188593381532,1.5292482930376914,-191.9470811355461,0.04301280604860589,0.8232323232323232,0.10303030303030303,6,1.5874010519681996,2,0,0,0,False,0
A_no_entropy,4,none,True,True,1.957000577456462,332.0978228900447,332.0978228900447,-1.7273188593381532,1.5292482930376914,-191.9470811355461,0.04301280604860589,0.7940573770491803,0.1117827868852459,6,1.4697344922755988,3,0,0,0,False,0
A_no_entropy,5,none,True,True,1.957000577456462,332.0978228900447,332.0978228900447,-1.7273188593381532,1.5292482930376914,-191.9470811355461,0.04301280604860589,0.7755165289256198,0.11734504132231405,6,1.360790000174377,4,0,0,0,False,0
A_no_entropy,6,none,True,True,1.957000577456462,332.0978228900447,332.0978228900447,-1.7273188593381532,1.5292482930376914,-191.9470811355461,0.04301280604860589,0.728747433264887,0.13137577002053388,6,1.2599210498948732,5,0,0,0,False,0
A_no_entropy,7,none,True,True,1.957000577456462,332.0978228900447,332.0978228900447,-1.7273188593381532,1.5292482930376914,-191.9470811355461,0.04301280604860589,0.6943089430894309,0.14170731707317072,6,1.1665290395761165,6,0,0,0,False,0
A_no_entropy,8,none,True,True,1.957000577456462,332.0978228900447,332.0978228900447,-1.7273188593381532,1.5292482930376914,-191.9470811355461,0.04301280604860589,0.6690669371196755,0.14927991886409733,6,1.080059738892306,7,0,0,0,False,0
A_no_entropy,9,none,True,True,1.957000577456462,332.0978228900447,332.0978228900447,-1.7273188593381532,1.5292482930376914,-191.9470811355461,0.04301280604860589,0.6757172131147541,0.14728483606557377,6,1.0,8,0,0,0,False,0
A_no_entropy,10,none,True,True,1.957000577456462,332.0978228900447,332.0978228900447,-1.7273188593381532,1.5292482930376914,-191.9470811355461,0.04301280604860589,0.6656822810590631,0.15029531568228105,6,0.9258747122872903,9,0,0,0,False,0
A_no_entropy,11,none,True,True,1.957000577456462,332.0978228900447,332.0978228900447,-1.7273188593381532,1.5292482930376914,-191.9470811355461,0.04301280604860589,0.6599798387096775,0.15200604838709675,6,0.8572439828530728,10,0,0,0,False,0
A_no_entropy,12,none,True,True,1.957000577456462,332.0978228900447,332.0978228900447,-1.7273188593381532,1.5292482930376914,-191.9470811355461,0.04301280604860589,0.638235294117647,0.1585294117647059,6,0.7937005259840998,11,0,0,0,False,0
A_no_entropy,13,none,True,True,1.957000577456462,332.0978228900447,332.0978228900447,-1.7273188593381532,1.5292482930376914,-191.9470811355461,0.04301280604860589,0.6102459016393443,0.1669262295081967,6,0.7348672461377994,12,0,0,0,False,0
