dataset_idx,pred_ppf_max,pred_ppf_std,priority,cycle_length,rho_pcm_boc,pos_0,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,pos_16,pos_17,pos_18,pos_19,pos_20,pos_21,pos_22,pos_23,pos_24,pos_25,pos_26,pos_27,pos_28,pos_29,pos_30
7641,1.8384106159210205,0.14575109511680184,0.07928099318309008,322.52496337890625,9278.3212890625,1,4,6,4,6,1,9,1,1,1,4,3,3,1,5,4,4,3,7,1,5,1,8,2,1,5,1,3,1,5,1
7913,1.883319616317749,0.14647039306909931,0.07777241718849617,308.14654541015625,9483.60546875,3,1,1,3,1,9,1,3,1,1,4,4,7,2,3,4,1,6,4,1,5,1,4,1,1,5,6,1,8,5,5
1823,1.798965573310852,0.12128629834892211,0.06741998615848735,322.19915771484375,9535.2509765625,1,3,1,1,9,1,1,2,3,4,1,1,3,1,1,5,4,1,4,8,1,6,4,7,5,5,3,5,4,6,1
4328,1.8091118335723877,0.12193240932155171,0.0673990091613476,312.1058654785156,9484.083984375,6,3,1,4,1,8,1,3,1,1,3,4,3,1,1,4,1,4,7,5,1,4,1,1,2,5,1,9,6,5,5
7090,1.771364450454712,0.11041833562582258,0.062335154208408364,305.8817138671875,9767.1083984375,6,1,4,6,4,5,1,5,4,4,1,4,3,9,3,1,1,1,1,5,5,3,1,8,1,1,3,2,1,1,7
3965,2.027437686920166,0.12493492282995942,0.06162204879025399,298.2308349609375,9496.6259765625,8,1,3,3,3,1,2,1,9,4,4,6,1,1,4,5,3,4,1,1,1,7,1,1,1,5,6,4,1,5,5
9444,2.035339117050171,0.12487218759073877,0.06135200175481733,315.7716979980469,9576.1220703125,1,1,4,4,1,1,6,1,2,3,4,8,3,1,5,1,1,1,4,1,5,1,3,3,7,5,1,5,4,6,9
8519,1.8895604610443115,0.11383216169572141,0.060242636629342906,309.6778564453125,9846.041015625,6,8,3,4,7,6,1,3,1,9,1,4,3,1,5,4,1,1,3,5,1,4,1,1,5,1,4,1,2,1,5
2379,1.918562412261963,0.11410628741492468,0.059474859908648155,320.045654296875,9377.76953125,1,3,4,1,1,1,1,5,2,3,9,1,1,1,1,4,4,1,8,5,6,5,4,4,3,6,3,7,1,1,5
9742,1.9153612852096558,0.11318668303479149,0.059094139341883546,314.8136901855469,9522.693359375,1,1,1,1,9,1,5,3,1,4,1,1,4,1,2,3,3,1,1,4,6,4,3,7,6,4,5,8,5,1,5
1325,2.033568859100342,0.11870599548012309,0.05837320889326016,295.2779846191406,9163.1787109375,4,4,1,4,6,2,4,5,6,3,4,1,3,1,3,1,9,1,3,1,5,1,1,1,7,5,8,1,1,1,5
3253,1.9621306657791138,0.114518083508892,0.058364119090437,330.50714111328125,9440.2431640625,3,1,1,5,4,1,6,3,1,4,4,3,4,3,5,1,1,8,1,6,1,1,7,9,1,1,5,4,2,1,5
3805,1.8547946214675903,0.10144086710113888,0.05469113063490991,309.1869201660156,9821.3994140625,1,3,7,4,1,3,5,1,1,1,1,1,1,1,8,3,9,4,1,6,5,4,3,1,6,1,2,4,5,5,4
7332,1.860300064086914,0.10123475828358867,0.054418482448297056,309.14434814453125,9843.7177734375,2,1,4,1,1,4,1,5,4,1,1,4,1,5,4,1,1,1,3,1,6,7,3,9,5,6,5,8,3,3,1
1288,1.9782521724700928,0.10733435309430836,0.054257138116344944,302.751953125,9734.9892578125,3,1,1,1,7,3,1,5,1,4,1,1,1,1,5,5,3,4,1,3,6,4,6,4,2,5,1,9,1,4,8
1893,1.8804566860198975,0.10114855312186907,0.05378932818625848,303.58819580078125,9428.9814453125,5,4,1,1,4,5,5,1,4,1,1,4,4,3,3,3,1,9,1,6,2,1,1,1,3,5,6,8,7,1,1
1967,1.726210594177246,0.09279053309314618,0.053753859547882754,323.46240234375,10031.884765625,4,1,1,5,1,1,2,1,8,4,4,9,1,4,6,1,1,1,3,5,5,1,3,4,6,3,1,5,7,1,3
6027,1.8553929328918457,0.0993920904063771,0.053569266949739326,305.1041564941406,9747.9697265625,4,3,9,8,1,7,5,5,1,1,4,1,3,4,6,1,1,3,1,5,1,1,1,6,3,4,1,4,1,5,2
8550,1.7787020206451416,0.09489301908757276,0.0533495588963522,317.4656677246094,9846.1103515625,3,4,4,3,1,1,1,5,1,4,9,4,1,1,1,1,1,2,1,1,6,3,7,3,5,5,1,8,6,5,4
138,1.83395516872406,0.09722139533713385,0.053011843713028146,330.25897216796875,10090.9375,1,1,7,1,1,4,4,1,1,4,3,2,8,4,1,1,1,1,4,5,5,3,1,9,6,5,5,3,6,3,1
3519,1.9047868251800537,0.09991260691787918,0.05245340611013966,297.0291442871094,9479.6435546875,5,4,1,3,1,7,1,5,3,4,1,1,4,6,1,1,1,1,3,5,8,4,1,1,9,5,6,4,3,1,2
3292,1.9134445190429688,0.09981006703725183,0.05216248304975814,315.6829833984375,9637.7509765625,2,4,1,8,3,1,7,1,1,1,3,4,1,6,1,3,5,3,4,9,5,4,4,1,1,6,1,1,5,5,1
8948,2.1383702754974365,0.11125445006506411,0.05202765943879439,282.78558349609375,10160.98828125,4,7,1,1,5,3,5,3,9,4,1,1,1,3,5,4,3,4,1,1,1,5,1,1,1,8,6,1,4,2,6
7865,2.1083734035491943,0.10947562087298042,0.05192418533165399,310.5384216308594,9770.4560546875,5,8,7,1,1,1,1,5,3,3,4,3,1,6,1,5,4,1,4,1,6,4,9,5,1,3,2,1,1,1,4
8055,1.8248072862625122,0.09446514243920441,0.05176716126757221,323.0762634277344,10274.166015625,3,1,1,3,2,3,6,9,1,4,3,4,1,1,1,8,1,4,5,4,1,1,4,5,5,5,1,7,1,6,1
6232,2.1314449310302734,0.11003529111678662,0.05162471724307328,318.1178894042969,9343.6396484375,6,1,1,3,3,5,1,5,4,1,3,1,4,1,1,1,8,9,4,4,1,1,7,6,1,5,2,4,5,1,3
328,1.8374912738800049,0.0947089419933615,0.05154249937667377,318.08197021484375,10233.1318359375,1,4,4,8,9,1,5,5,1,1,1,1,3,4,6,1,1,3,6,3,2,1,1,3,5,1,7,5,4,4,1
7296,2.148002862930298,0.1101695643659486,0.05128927775374975,296.3893127441406,9650.2626953125,5,9,2,1,1,3,7,1,1,4,4,1,1,1,3,1,1,1,3,5,1,3,6,1,4,5,4,4,8,6,5
3816,1.9830400943756104,0.10140734218278856,0.05113728850066418,320.48651123046875,10077.517578125,1,1,4,3,8,1,5,1,1,4,4,1,4,3,5,1,1,7,3,2,1,3,1,6,5,9,6,1,1,4,5
1613,2.0089664459228516,0.10232616547199866,0.05093470680137308,296.2751159667969,9548.859375,7,8,4,3,1,5,1,1,1,3,1,1,3,1,6,1,3,1,9,1,1,5,4,1,4,6,4,2,4,5,5
3265,1.8993542194366455,0.09529153043671303,0.050170464053142114,306.3328857421875,9761.0478515625,5,3,4,1,5,1,7,4,1,1,4,8,3,1,5,1,4,1,3,6,2,4,1,1,1,9,3,6,1,5,1
3937,1.8517295122146606,0.09271233101382123,0.0500679406218615,333.6961975097656,10254.9033203125,1,3,8,4,1,3,1,5,3,1,1,4,2,7,5,1,1,4,6,4,1,1,4,5,6,1,9,3,5,1,1
3806,1.879592776298523,0.09316073919502543,0.04956429557592301,317.7402038574219,9954.1201171875,1,1,4,4,1,8,4,5,9,1,1,1,7,6,1,6,4,4,1,5,5,5,3,3,1,2,3,1,3,1,1
7149,1.8981353044509888,0.09392979759843201,0.04948527651602936,335.33770751953125,9967.15625,1,1,4,5,3,8,1,1,1,1,4,3,7,4,2,1,1,3,4,5,3,1,4,1,6,1,9,5,6,5,1
1569,2.0301289558410645,0.10003806499805186,0.04927668152129845,304.0314025878906,9545.599609375,2,4,1,6,4,1,1,6,1,1,4,4,3,3,5,7,1,1,1,1,5,3,8,3,1,9,1,5,4,1,5
786,1.8754701614379883,0.09198031863705326,0.04904384711440646,304.2843017578125,9902.189453125,2,4,5,1,3,3,6,1,4,4,3,3,1,5,1,1,1,1,1,4,5,1,8,1,4,7,1,6,1,9,5
4611,2.142690420150757,0.10475736056323105,0.04889055038114104,297.68182373046875,9712.8203125,1,4,5,3,1,7,1,6,1,4,1,4,3,1,6,5,9,4,1,1,5,5,1,1,1,8,4,2,3,3,1
8867,1.961883783340454,0.09549565553128392,0.048675466876097605,312.1043701171875,9236.3115234375,1,4,1,3,3,1,6,5,9,7,4,1,8,2,1,3,4,1,4,1,1,1,1,3,4,5,6,1,5,1,5
4574,1.987717866897583,0.09628249305189256,0.048438688639166026,318.0810546875,9672.4296875,1,1,1,1,2,1,8,5,7,4,1,4,6,3,5,4,3,4,1,1,4,9,3,1,5,1,1,6,1,3,5
6036,1.8596800565719604,0.0892409521809852,0.04798723635359757,343.4664306640625,10177.0703125,1,1,9,1,1,1,6,1,1,4,3,3,4,8,5,4,5,1,6,4,5,3,3,4,2,1,7,5,1,1,1
7565,2.0524067878723145,0.09829501101007315,0.04789253568883982,298.6233215332031,9834.2294921875,7,4,3,4,1,5,1,1,3,3,1,1,1,1,5,2,4,9,4,1,1,3,1,5,4,5,6,1,1,8,6
1767,2.046229600906372,0.09792871656194374,0.04785810491526513,318.0955810546875,9722.4794921875,1,3,4,5,5,1,1,5,2,4,4,8,4,1,1,7,3,3,1,1,3,1,1,6,5,1,9,4,1,6,1
5888,2.0999135971069336,0.10004904986404978,0.047644343350460444,328.0379638671875,10188.359375,4,1,4,1,1,1,1,7,6,3,3,1,9,5,1,5,8,4,4,5,1,1,3,1,2,4,1,3,6,1,5
5873,1.8350263833999634,0.08729994123707438,0.04757419111600983,313.0931091308594,10014.7255859375,1,4,1,1,3,3,1,5,1,1,9,6,4,1,6,3,1,1,1,5,5,4,1,4,2,7,4,8,3,5,1
8351,1.8040974140167236,0.08558958148344842,0.047441748751754324,317.4704895019531,9848.2119140625,4,1,1,3,5,1,6,2,1,4,8,3,4,4,5,3,1,1,7,5,4,1,1,1,6,1,1,9,1,5,3
1800,2.1607792377471924,0.10232399577499003,0.047355115611122996,308.03729248046875,9362.3046875,5,3,8,1,1,1,4,1,1,4,9,1,3,1,3,5,4,4,6,4,6,7,1,1,5,5,1,1,1,3,2
