pos_0,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,pos_16,pos_17,pos_18,pos_19,pos_20,pos_21,pos_22,pos_23,pos_24,pos_25,pos_26,pos_27,pos_28,pos_29,pos_30
5,6,9,5,6,4,9,9,8,5,7,6,8,5,3,7,4,1,3,4,6,1,2,4,8,9,8,1,9,6,7
2,8,3,6,1,7,3,8,5,2,7,7,2,6,9,6,3,9,9,9,5,7,5,2,2,7,1,1,7,9,5
6,6,9,2,7,3,2,9,5,2,2,4,1,8,5,5,9,3,1,8,8,6,1,6,1,1,7,1,2,9,2
6,5,1,1,5,2,9,2,6,5,8,1,6,8,6,2,1,1,9,6,9,1,2,1,1,2,8,9,5,7,2
6,5,8,1,5,8,6,7,2,2,7,3,3,7,5,6,3,6,7,1,4,2,2,2,9,3,9,4,6,9,6
