rank,ppf_max,sigma_ppf,h_gauss,h_hist,h_traj,cycle_length_days,fitness,ppf_safe,al_hist_flag,al_sigma_flag,pos_0,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,pos_16,pos_17,pos_18,pos_19,pos_20,pos_21,pos_22,pos_23,pos_24,pos_25,pos_26,pos_27,pos_28,pos_29,pos_30
1,1.9204272031784058,0.06396015733480453,-1.3305561542510986,1.3358514308929443,-161.29583740234375,346.8465881347656,342.71628651574804,True,False,False,4,1,4,7,2,4,1,1,1,9,9,1,6,2,1,1,7,7,7,4,5,1,1,1,6,1,1,5,1,1,1
2,1.8616876602172852,0.06395348161458969,-1.3306607007980347,1.2244148254394531,-163.37355041503906,344.0927429199219,341.09442484378815,True,False,False,1,1,4,9,8,4,1,1,1,8,6,1,6,5,8,1,9,8,9,5,6,1,1,1,9,2,1,5,7,1,1
3,1.8783760070800781,0.05938168615102768,-1.404830813407898,1.2625126838684082,-162.06393432617188,341.317138671875,338.3515967130661,True,False,False,1,1,3,4,7,9,1,4,1,7,9,1,6,6,3,1,9,6,7,5,2,1,1,1,3,9,1,5,8,1,1
4,2.1142725944519043,0.05657033622264862,-1.4533320665359497,1.2730623483657837,-169.3678741455078,341.0234069824219,336.72385370731354,True,False,False,3,1,3,3,7,6,1,1,1,9,9,1,6,6,5,1,5,7,5,8,9,1,1,1,7,1,1,5,1,1,1
5,2.213228702545166,0.08242838084697723,-1.0768870115280151,1.516584873199463,-164.8865509033203,342.4641418457031,336.58706802129745,True,True,True,1,1,4,9,2,3,1,3,1,8,8,1,5,2,5,1,9,8,5,5,3,1,1,1,2,4,1,9,2,1,1
6,1.9041740894317627,0.07970975339412689,-1.1104247570037842,1.5068219900131226,-162.61715698242188,340.4198303222656,336.4841778278351,True,True,False,3,1,3,4,1,7,1,1,1,4,7,1,8,8,1,1,9,7,5,6,5,1,1,1,5,4,1,7,2,1,1
7,1.920512318611145,0.0645178034901619,-1.3218755722045898,1.2730623483657837,-165.4233856201172,340.2034912109375,336.05710486129476,True,False,False,6,1,7,9,4,3,1,1,1,7,3,1,6,2,3,1,9,7,6,5,3,1,1,1,2,1,1,5,1,1,1
8,2.017568588256836,0.06717697530984879,-1.2814862728118896,1.3161025047302246,-168.8519744873047,339.5897521972656,335.5006870031357,True,False,False,3,1,1,7,2,7,1,2,1,6,7,1,6,6,3,1,8,7,5,5,3,1,1,1,5,1,1,7,1,1,1
9,1.8474714756011963,0.042164433747529984,-1.7472394704818726,1.0119494199752808,-163.683837890625,337.2165222167969,335.1034179329872,True,False,False,1,1,4,9,3,4,1,1,1,1,9,1,8,6,1,1,8,8,5,7,6,1,1,1,5,9,1,7,2,1,1
10,2.0327372550964355,0.07359440624713898,-1.190247654914856,1.3937814235687256,-161.24258422851562,339.324951171875,334.88240748643875,True,False,False,4,1,8,7,3,7,1,4,1,8,8,1,7,6,2,1,7,7,9,4,2,1,1,1,6,2,1,9,7,1,1
11,1.8984553813934326,0.07086002826690674,-1.2281101942062378,1.4533668756484985,-162.36619567871094,338.40179443359375,334.8592885732651,True,True,False,1,1,7,8,9,2,1,3,1,7,3,1,3,6,2,1,7,9,6,8,8,1,1,1,6,1,1,6,2,1,1
12,2.0800230503082275,0.05665304511785507,-1.4518710374832153,1.3024685382843018,-169.46197509765625,338.8609313964844,334.8284050822258,True,False,False,1,1,1,8,8,5,1,1,1,3,9,1,2,8,8,1,9,7,6,2,2,1,1,1,6,1,1,7,5,1,1
13,2.16158127784729,0.07080069184303284,-1.2289478778839111,1.3252569437026978,-171.23739624023438,339.85076904296875,334.686851143837,True,False,False,1,1,3,1,3,4,1,1,1,9,9,1,5,6,2,1,9,6,9,4,5,1,1,1,6,2,1,6,1,1,1
14,1.9747743606567383,0.05988696590065956,-1.396357774734497,1.2333059310913086,-162.5848846435547,338.2304992675781,334.66762375831604,True,False,False,1,1,9,1,9,2,1,4,1,9,8,1,7,5,2,1,9,9,8,4,5,1,1,1,6,9,1,2,1,1,1
15,1.9360640048980713,0.07560519874095917,-1.1632914543151855,1.4413318634033203,-164.24862670898438,338.62200927734375,334.6432093977928,True,True,False,4,1,9,4,3,2,1,4,1,9,9,1,8,6,8,1,9,7,7,5,5,1,1,1,6,1,1,4,2,1,1
