dataset_idx,pred_ppf_max,pred_ppf_std,priority,cycle_length,rho_pcm_boc,pos_0,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,pos_16,pos_17,pos_18,pos_19,pos_20,pos_21,pos_22,pos_23,pos_24,pos_25,pos_26,pos_27,pos_28,pos_29,pos_30
2503,1.862032413482666,0.10034665170488631,0.053890898774869474,331.8261413574219,10644.830078125,6,4,1,1,1,1,1,3,1,4,4,3,9,2,3,4,1,5,7,5,1,1,4,1,5,1,1,6,3,8,5
5841,2.052023410797119,0.10921212046998507,0.053221649002260334,332.81329345703125,10463.8935546875,1,4,3,3,3,1,1,1,5,8,4,7,4,6,1,5,1,9,1,2,1,4,1,5,6,3,1,4,1,1,5
5656,2.069552421569824,0.10955134949771554,0.05293477849286782,333.8185119628906,11284.279296875,1,1,1,3,3,1,4,3,1,7,9,2,1,5,4,5,4,5,8,1,1,6,4,4,1,6,1,5,1,1,3
2109,2.0823981761932373,0.1057443123385118,0.050780040589643076,299.4615783691406,10339.2705078125,3,4,1,3,4,1,6,1,5,1,1,1,3,2,1,1,4,3,1,6,7,1,1,1,4,5,9,5,8,5,4
9974,2.1055736541748047,0.10578035410539212,0.05023823601931089,334.30926513671875,10936.2919921875,1,4,1,1,1,1,1,4,4,4,3,4,6,5,1,1,9,5,3,1,5,2,1,8,6,5,1,3,3,1,7
9518,2.046412944793701,0.1020788510086876,0.049881820625390434,321.84686279296875,10811.783203125,4,1,4,9,3,4,1,7,1,1,5,3,4,5,5,6,3,3,1,1,1,1,4,1,1,1,6,5,2,8,1
8270,1.8630619049072266,0.09179220590640597,0.049269516314813265,324.15631103515625,10865.6240234375,3,3,1,3,1,1,1,2,9,4,8,1,1,1,4,1,5,1,1,6,5,4,4,6,7,1,4,5,3,5,1
5423,2.067685127258301,0.10138534765425547,0.049033239904834214,318.1537170410156,10057.53125,6,1,4,3,4,4,5,1,1,3,2,1,8,9,5,1,4,1,5,7,5,1,1,4,3,6,1,1,1,3,1
1967,1.8321985006332397,0.08942230785523422,0.04880598978730164,324.2628173828125,10021.1943359375,4,1,1,5,1,1,2,1,8,4,4,9,1,4,6,1,1,1,3,5,5,1,3,4,6,3,1,5,7,1,3
1777,2.0347084999084473,0.09825627881890214,0.04829007829392556,311.39471435546875,11403.7724609375,8,3,4,4,1,1,5,9,3,4,1,2,4,6,5,1,1,1,3,1,1,1,6,1,5,3,1,5,4,1,7
7650,2.165179967880249,0.10404320789241117,0.048052893343300755,314.745849609375,9495.392578125,1,1,7,1,8,1,1,1,1,9,2,1,6,4,3,3,4,4,4,1,5,1,3,1,1,5,5,4,3,5,6
4948,2.1385114192962646,0.10270495737489772,0.0480263563928936,340.1999206542969,10610.22265625,1,1,1,3,1,1,1,1,8,1,4,3,5,2,9,4,4,1,4,6,5,3,4,6,5,1,3,7,1,1,5
4414,1.713127851486206,0.08224179479135764,0.04800677832490913,325.46234130859375,10877.1708984375,4,1,4,4,8,4,3,6,1,9,5,1,1,2,1,1,3,1,1,6,5,3,3,4,5,1,1,5,1,7,1
7933,2.0578107833862305,0.09801694884058282,0.04763164048261956,297.43572998046875,10189.1103515625,9,3,8,4,4,1,1,1,1,1,1,4,1,1,4,5,3,1,4,1,2,1,1,3,5,6,3,5,7,6,5
1953,2.099713087081909,0.09992518496139487,0.047589901777961234,323.77386474609375,10258.294921875,6,1,3,3,8,3,4,4,1,7,1,1,4,5,3,1,9,4,6,5,1,1,1,4,1,1,2,1,5,1,5
374,1.7864381074905396,0.08462701710254456,0.04737190254189981,315.8228759765625,10723.384765625,3,3,4,1,4,3,5,1,3,1,5,4,1,1,9,1,4,1,1,2,5,1,8,5,7,6,4,1,6,1,1
4290,2.1455886363983154,0.10006658101587942,0.046638267392270484,324.6048278808594,9700.091796875,1,2,1,1,3,1,4,1,3,4,1,4,4,5,1,1,9,3,1,1,6,5,4,6,3,7,5,8,1,1,5
3265,1.9348841905593872,0.09013397467319566,0.046583630528050035,306.078125,9788.884765625,5,3,4,1,5,1,7,4,1,1,4,8,3,1,5,1,4,1,3,6,2,4,1,1,1,9,3,6,1,5,1
8328,2.0960853099823,0.09751333736834504,0.04652162416170474,336.60589599609375,10315.4755859375,1,3,6,4,1,3,1,1,1,3,6,1,8,1,5,1,1,4,5,4,1,3,4,7,5,1,9,4,1,2,5
8646,2.107010841369629,0.09801900075403953,0.046520385402966,316.4457092285156,10549.7626953125,5,4,4,7,4,5,1,1,9,4,1,3,5,3,1,3,1,4,6,1,2,1,1,1,8,5,1,6,1,3,1
6623,1.9251734018325806,0.0895427260392126,0.0465114890934832,320.813232421875,10615.9111328125,4,1,4,3,8,4,1,1,2,4,5,1,1,6,6,1,1,7,1,3,5,9,4,1,1,1,3,5,3,1,5
