arm,n_free,best_ppf,best_cycle,al_candidates,runtime_s
trust_region (20/31 free),20,1.8932712078094482,342.2448425292969,83,52.04091286659241
fully_free (31/31 free),31,2.1606154441833496,340.4703674316406,42,52.18775177001953
