dataset_idx,pred_ppf_max,pred_ppf_std,priority,cycle_length,rho_pcm_boc,pos_0,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,pos_16,pos_17,pos_18,pos_19,pos_20,pos_21,pos_22,pos_23,pos_24,pos_25,pos_26,pos_27,pos_28,pos_29,pos_30
9250,2.0602242946624756,0.10500903301796227,0.050969685524791745,302.1357421875,9956.8115234375,4,1,3,7,6,1,1,1,2,4,1,1,1,3,5,4,1,8,9,1,5,1,1,6,3,4,3,1,4,5,5
3496,2.208409309387207,0.11009004187101555,0.04985035783994117,283.6957092285156,10046.5341796875,6,1,4,7,1,4,6,5,3,1,9,3,1,4,5,5,1,1,1,2,3,3,1,1,1,5,1,8,1,4,4
9937,2.149836301803589,0.10516528839738873,0.04891779046503251,328.48822021484375,10745.2900390625,1,3,1,1,2,1,1,6,5,8,4,4,3,7,1,1,4,5,6,1,1,9,1,5,3,3,1,4,4,1,5
6232,2.0486912727355957,0.09913393985629158,0.04838888856917856,320.6139831542969,9408.513671875,6,1,1,3,3,5,1,5,4,1,3,1,4,1,1,1,8,9,4,4,1,1,7,6,1,5,2,4,5,1,3
9163,2.188145637512207,0.10536199932732446,0.04815125264079856,349.2843017578125,10281.39453125,1,1,1,6,3,3,4,1,2,4,1,8,4,5,6,3,1,9,7,4,1,1,3,4,5,1,1,5,5,1,1
2792,2.057191848754883,0.09803818707473004,0.0476562950050007,327.2352600097656,10784.87109375,1,6,3,4,5,3,6,1,1,8,3,1,7,1,5,4,1,4,1,5,4,1,4,5,1,1,3,2,9,1,1
7849,2.135270118713379,0.09778726471525037,0.04579618296701928,310.00274658203125,10261.6455078125,6,1,3,3,1,1,1,8,1,1,4,4,1,9,3,5,4,1,5,1,3,4,6,4,5,1,7,1,2,1,5
8328,2.1531105041503906,0.09850997219141854,0.04575237934544427,336.228515625,10292.4892578125,1,3,6,4,1,3,1,1,1,3,6,1,8,1,5,1,1,4,5,4,1,3,4,7,5,1,9,4,1,2,5
5921,2.174684524536133,0.09934269570419231,0.04568140850691729,317.3927001953125,10529.5498046875,1,4,1,6,1,7,1,3,1,1,4,1,4,5,9,4,4,1,3,8,3,3,5,1,6,1,1,1,5,5,2
1945,2.1254711151123047,0.09606326066700735,0.04519619997728197,308.1349792480469,11476.9794921875,4,5,4,1,3,5,4,4,1,1,7,8,1,6,9,4,1,1,1,6,3,2,1,1,1,1,3,5,5,3,1
8779,2.0844695568084717,0.09402549983391505,0.04510761815101794,319.6615905761719,10507.255859375,1,3,3,4,9,1,8,4,1,4,2,4,7,1,5,1,1,6,1,6,1,5,3,1,1,5,1,4,5,1,3
2925,2.1367359161376953,0.09622697360500915,0.04503454541572782,314.74932861328125,10102.259765625,1,7,3,2,1,1,5,1,1,1,4,9,4,5,5,4,3,3,1,1,1,1,4,1,1,8,5,6,4,3,6
2191,2.122680902481079,0.09552086121138977,0.04500008370750259,317.72113037109375,10049.09375,1,1,1,6,4,1,1,1,8,1,9,4,1,3,2,5,4,1,1,4,7,4,3,6,5,5,3,1,5,3,1
3580,2.0116429328918457,0.0904825953894063,0.044979430004312725,317.31695556640625,9965.494140625,1,9,1,3,1,2,5,7,1,4,6,4,1,1,5,1,4,1,4,1,1,1,6,8,3,5,1,3,5,3,4
5465,2.090693712234497,0.09380624885162692,0.044868459455723465,323.6555480957031,10210.26953125,5,4,2,1,4,6,4,1,1,7,3,5,9,1,1,4,4,1,3,1,3,1,8,6,1,5,1,1,5,3,1
4431,2.115522861480713,0.09377706332729382,0.0443280584484565,299.5739440917969,9477.7392578125,6,3,1,5,1,1,1,1,3,3,4,1,1,1,5,2,4,7,4,1,3,1,1,4,1,8,6,9,5,4,5
3253,1.935889720916748,0.08569439644636766,0.0442661342249968,328.5160827636719,9474.5390625,3,1,1,5,4,1,6,3,1,4,4,3,4,3,5,1,1,8,1,6,1,1,7,9,1,1,5,4,2,1,5
2769,2.056168556213379,0.09100192166712079,0.04425798613855098,315.0259094238281,10910.330078125,4,8,1,3,1,1,7,1,1,6,4,9,5,1,1,3,2,4,1,3,5,4,1,1,1,4,1,6,3,5,5
2209,2.1537680625915527,0.09509445375785297,0.04415257766254084,296.79345703125,10150.0400390625,9,4,3,1,3,5,7,6,5,1,4,4,4,2,1,1,1,3,1,1,1,6,1,1,3,8,4,5,1,5,1
