position,sensitivity,sensitivity_norm
pos_0,0.113789655,0.5683912
pos_1,0.200196,0.99999994
pos_2,0.125817,0.62846905
pos_3,0.0970498,0.4847739
pos_4,0.07406989,0.36998683
pos_5,0.060028467,0.29984847
pos_6,0.08505481,0.42485765
pos_7,0.11224304,0.5606657
pos_8,0.17472813,0.8727853
pos_9,0.17384692,0.8683835
pos_10,0.13610508,0.67985904
pos_11,0.10590081,0.5289856
pos_12,0.10332727,0.5161305
pos_13,0.10445442,0.52176076
pos_14,0.103617564,0.51758057
pos_15,0.10797001,0.5393215
pos_16,0.12874044,0.64307195
pos_17,0.10552474,0.5271071
pos_18,0.08487115,0.42394027
pos_19,0.09381135,0.46859747
pos_20,0.11373071,0.5680968
pos_21,0.1309804,0.6542608
pos_22,0.1544041,0.7712646
pos_23,0.10010474,0.5000336
pos_24,0.070709415,0.3532009
pos_25,0.088009745,0.43961787
pos_26,0.10257006,0.5123482
pos_27,0.10754354,0.5371912
pos_28,0.096288174,0.4809695
pos_29,0.073718674,0.3682325
pos_30,0.06114845,0.3054429
