arm,mode,seed,best_ppf,best_cycle,best_sigma,time_s,n_al,al_h_cv,al_sig_corr,al_sn_mean,div_final
A_baseline,A,42,1.7823076248168945,308.89044189453125,0.06448734551668167,385.6857178211212,50,0.0028824095746014192,-0.04744656241069864,0.0,1.0
A_baseline,A,137,1.797544240951538,322.1253967285156,0.05951550975441933,328.3449139595032,50,0.004004052327528921,0.013587698875555125,0.0,1.0
A_baseline,A,271,1.791761040687561,316.8342590332031,0.06143416091799736,414.8498680591583,50,0.0038292143088071383,0.10979493394788517,0.0,1.0
A_baseline,A,509,1.7819931507110596,334.1276550292969,0.058315426111221313,520.6863520145416,50,0.0066332288970683915,0.17829187743591915,0.0,1.0
A_baseline,A,1023,1.8123987913131714,303.89971923828125,0.08836502581834793,540.5591847896576,50,0.006481022369733203,-0.044386815439683786,0.0,1.0
B_sens_al_score,B,42,1.7360634803771973,313.83154296875,0.0678510069847107,524.6747000217438,50,0.004070517299124099,-0.11411056309590256,34.64676540374756,1.0
B_sens_al_score,B,137,1.7896981239318848,310.677978515625,0.06996331363916397,548.6049420833588,50,0.003950359280233354,0.10643299746137828,34.522139358520505,1.0
B_sens_al_score,B,271,1.7992401123046875,315.8621520996094,0.06861277669668198,540.1100280284882,50,0.003071291833105857,0.023544749911248053,34.39591125488281,1.0
B_sens_al_score,B,509,1.7928383350372314,317.0480041503906,0.0739961639046669,527.1701259613037,50,0.013138824662329277,-0.014326699114818141,34.16096752166748,1.0
B_sens_al_score,B,1023,1.7929255962371826,317.34844970703125,0.06798848509788513,520.0752449035645,50,0.005845094115824941,0.13475321085539063,34.20077751159668,1.0
