position,sensitivity,sensitivity_norm
pos_0,0.122651614,0.5079992
pos_1,0.24144056,0.99999994
pos_2,0.17315358,0.7171685
pos_3,0.13385588,0.55440503
pos_4,0.09964609,0.41271475
pos_5,0.0824201,0.34136808
pos_6,0.1117987,0.46304852
pos_7,0.12978248,0.5375338
pos_8,0.20959254,0.8680916
pos_9,0.23969096,0.9927534
pos_10,0.16891542,0.6996149
pos_11,0.1296113,0.5368248
pos_12,0.11171143,0.46268705
pos_13,0.1268717,0.52547795
pos_14,0.12633619,0.52325994
pos_15,0.1224071,0.50698644
pos_16,0.11977377,0.49607968
pos_17,0.09977295,0.4132402
pos_18,0.11549633,0.47836336
pos_19,0.10541841,0.43662256
pos_20,0.10791444,0.44696066
pos_21,0.11286154,0.46745056
pos_22,0.12160355,0.5036583
pos_23,0.088081144,0.364815
pos_24,0.082791366,0.34290576
pos_25,0.09786691,0.40534574
pos_26,0.10518146,0.4356412
pos_27,0.101131245,0.41886598
pos_28,0.08558899,0.354493
pos_29,0.070790745,0.29320154
pos_30,0.07615806,0.3154319
