position,sensitivity,sensitivity_norm
pos_0,0.60223794,0.57520074
pos_1,0.9501992,0.90754044
pos_2,0.64357895,0.6146858
pos_3,0.5201775,0.49682435
pos_4,0.4839997,0.46227074
pos_5,0.3905187,0.37298653
pos_6,0.52654743,0.5029083
pos_7,0.56900465,0.5434594
pos_8,0.9189243,0.8776696
pos_9,0.9422986,0.8999945
pos_10,0.69856554,0.6672037
pos_11,0.5527133,0.52789944
pos_12,0.57356346,0.5478136
pos_13,0.7118819,0.6799223
pos_14,0.5848187,0.55856353
pos_15,0.65933985,0.62973905
pos_16,0.73191714,0.69905806
pos_17,0.5517284,0.5269588
pos_18,0.51361537,0.49055684
pos_19,0.6340703,0.605604
pos_20,0.5802624,0.5542118
pos_21,0.7554482,0.7215327
pos_22,0.8252542,0.7882048
pos_23,0.68518424,0.6544232
pos_24,0.4711708,0.4500178
pos_25,0.54929614,0.52463573
pos_26,0.760419,0.72628033
pos_27,1.0470048,1.0
pos_28,0.65120506,0.6219695
pos_29,0.56509924,0.53972936
pos_30,0.39960942,0.38166913
